"","ColonyID","Species","Phenotype","Timepoint","surface.area.cm2"
"70","211","Montipora capitata","Susceptible","October_2025",11.2994674041277
"71","213","Montipora capitata","Susceptible","October_2025",21.6189974378193
"72","214","Montipora capitata","Resistant","October_2025",7.56548804000165
"73","221","Montipora capitata","Susceptible","October_2025",17.4670353090523
"74","225","Porites compressa","Susceptible","October_2025",8.61276707807432
"75","226","Porites compressa","Resistant","October_2025",11.9287636775594
"76","233","Porites compressa","Susceptible","October_2025",7.97882655170217
"77","234","Porites compressa","Resistant","October_2025",17.1535482355716
"78","235","Porites compressa","Susceptible","October_2025",8.33875615458746
"79","236","Porites compressa","Resistant","October_2025",19.2063080352528
"80","237","Porites compressa","Susceptible","October_2025",6.39745842547715
"81","238","Porites compressa","Resistant","October_2025",10.0710625013773
"82","239","Porites compressa","Susceptible","October_2025",7.68159436351303
"83","240","Porites compressa","Resistant","October_2025",15.1867071152888
"84","241","Porites compressa","Susceptible","October_2025",7.8046670664351
"85","242","Porites compressa","Resistant","October_2025",7.22877970181865
"86","243","Porites compressa","Susceptible","October_2025",8.02759120757695
"87","244","Porites compressa","Resistant","October_2025",15.8252918946014
"88","247","Porites compressa","Susceptible","October_2025",11.8474892511014
"89","248","Porites compressa","Resistant","October_2025",18.4376841736075
"90","3","Montipora capitata","Susceptible","October_2021",11.79
"91","4","Montipora capitata","Resistant","October_2021",12.11
"92","11","Montipora capitata","Susceptible","October_2021",14.58
"93","12","Montipora capitata","Resistant","October_2021",11.94
"94","19","Montipora capitata","Susceptible","October_2021",12.91
"95","20","Montipora capitata","Resistant","October_2021",16.95
"96","26","Porites compressa","Susceptible","October_2021",10.05
"97","27","Porites compressa","Resistant","October_2021",11.73
"98","41","Porites compressa","Susceptible","October_2021",10.93
"99","43","Porites compressa","Susceptible","October_2021",12.8
"100","44","Porites compressa","Resistant","October_2021",14.29
"101","45","Porites compressa","Susceptible","October_2021",16.06
"102","46","Porites compressa","Resistant","October_2021",10.86
"103","201","Montipora capitata","Susceptible","October_2021",9.52
"104","202","Montipora capitata","Resistant","October_2021",14.11
"105","203","Montipora capitata","Susceptible","October_2021",17.11
"106","204","Montipora capitata","Resistant","October_2021",15.58
"107","209","Montipora capitata","Susceptible","October_2021",37.63
"108","210","Montipora capitata","Resistant","October_2021",15.61
"109","211","Montipora capitata","Susceptible","October_2021",13.22
"110","212","Montipora capitata","Resistant","October_2021",12.81
"111","219","Montipora capitata","Susceptible","October_2021",13.82
"112","220","Montipora capitata","Resistant","October_2021",18.39
"113","221","Montipora capitata","Susceptible","October_2021",13.25
"114","222","Montipora capitata","Resistant","October_2021",10.68
"115","237","Porites compressa","Susceptible","October_2021",8.78
"116","238","Porites compressa","Resistant","October_2021",16.27
"117","240","Porites compressa","Resistant","October_2021",10.96
"118","243","Porites compressa","Susceptible","October_2021",12.59
"119","244","Porites compressa","Resistant","October_2021",11.32
"120","247","Porites compressa","Susceptible","October_2021",12.9
"121","248","Porites compressa","Resistant","October_2021",18.4
"122","204","Montipora capitata","Resistant","October_2019",52.54
"123","244","Porites compressa","Resistant","October_2019",27.3
"124","201","Montipora capitata","Susceptible","October_2019",36.17
"125","221","Montipora capitata","Susceptible","October_2019",50.86
"126","46","Porites compressa","Resistant","October_2019",32.47
"127","211","Montipora capitata","Susceptible","October_2019",23.36
"128","11","Montipora capitata","Susceptible","October_2019",21.83
"129","248","Porites compressa","Resistant","October_2019",26.48
"130","203","Montipora capitata","Susceptible","October_2019",11.04
"131","238","Porites compressa","Resistant","October_2019",17.58
"132","210","Montipora capitata","Resistant","October_2019",28.74
"133","240","Porites compressa","Resistant","October_2019",17.01
"134","44","Porites compressa","Resistant","October_2019",17.61
"135","202","Montipora capitata","Resistant","October_2019",22.6
"136","219","Montipora capitata","Susceptible","October_2019",19.99
"137","222","Montipora capitata","Resistant","October_2019",21.74
"138","4","Montipora capitata","Resistant","October_2019",40.73
"139","3","Montipora capitata","Susceptible","October_2019",29.17
"140","217","Montipora capitata","Susceptible","October_2019",24.01
"141","218","Montipora capitata","Resistant","October_2019",25.45
"142","243","Porites compressa","Susceptible","October_2019",20.59
"143","41","Porites compressa","Susceptible","October_2019",8.74
"144","220","Montipora capitata","Resistant","October_2019",36.38
"145","27","Porites compressa","Resistant","October_2019",12.55
"146","209","Montipora capitata","Susceptible","October_2019",26.61
"147","239","Porites compressa","Susceptible","October_2019",9
"148","12","Montipora capitata","Resistant","October_2019",26.37
"149","42","Porites compressa","Resistant","October_2019",25.65
"150","26","Porites compressa","Susceptible","October_2019",11.64
"151","20","Montipora capitata","Resistant","October_2019",23.55
"152","36","Porites compressa","Resistant","October_2019",16.5
"153","35","Porites compressa","Susceptible","October_2019",17.5
"154","229","Porites compressa","Susceptible","October_2019",16.15
"155","212","Montipora capitata","Resistant","October_2019",43.42
"156","230","Porites compressa","Resistant","October_2019",24.47
"157","45","Porites compressa","Susceptible","October_2019",27.42
"158","247","Porites compressa","Susceptible","October_2019",15.82
"159","19","Montipora capitata","Susceptible","October_2019",23.87
"160","237","Porites compressa","Susceptible","October_2019",11.74
"161","43","Porites compressa","Susceptible","October_2019",23.2
