ColonyID,Species,Phenotype,Sample,Timepoint,Diameter,Height,Without_wax_weight_g,With_wax_weight_g,Notes
4,Montipora capitata,Resistant,Coral,January_2024,NA,NA,4.1144,4.7292,
12,Montipora capitata,Resistant,Coral,January_2024,NA,NA,4.497,5.2599,
19,Montipora capitata,Susceptible,Coral,January_2024,NA,NA,2.4551,3.0008,
20,Montipora capitata,Resistant,Coral,January_2024,NA,NA,5.0109,5.8668,
26,Porites compressa,Resistant,Coral,January_2024,NA,NA,4.8718,5.2716,
27,Porites compressa,Susceptible,Coral,January_2024,NA,NA,7.0802,7.6993,
28,Porites compressa,Resistant,Coral,January_2024,NA,NA,4.1446,4.5583,
29,Porites compressa,Susceptible,Coral,January_2024,NA,NA,8.3601,9.068,
41,Porites compressa,Susceptible,Coral,January_2024,NA,NA,4.6213,5.2082,
42,Porites compressa,Resistant,Coral,January_2024,NA,NA,5.5811,6.0952,
43,Porites compressa,Susceptible,Coral,January_2024,NA,NA,5.9732,6.4782,
44,Porites compressa,Resistant,Coral,January_2024,NA,NA,4.0099,4.3702,
45,Porites compressa,Susceptible,Coral,January_2024,NA,NA,3.6013,3.963,
46,Porites compressa,Resistant,Coral,January_2024,NA,NA,8.4395,9.2025,
201,Montipora capitata,Susceptible,Coral,January_2024,NA,NA,6.5051,7.278,
202,Montipora capitata,Resistant,Coral,January_2024,NA,NA,9.1058,10.2187,
203,Montipora capitata,Susceptible,Coral,January_2024,NA,NA,3.1456,3.6435,
204,Montipora capitata,Resistant,Coral,January_2024,NA,NA,3.4741,4.0164,
205,Montipora capitata,Susceptible,Coral,January_2024,NA,NA,1.7854,2.1593,
206,Montipora capitata,Resistant,Coral,January_2024,NA,NA,1.96,2.3558,
209,Montipora capitata,Susceptible,Coral,January_2024,NA,NA,5.1331,5.8953,
210,Montipora capitata,Resistant,Coral,January_2024,NA,NA,3.3036,3.9301,
211,Montipora capitata,Susceptible,Coral,January_2024,NA,NA,3.7847,4.524,
212,Montipora capitata,Resistant,Coral,January_2024,NA,NA,2.7829,3.1761,
213,Montipora capitata,Susceptible,Coral,January_2024,NA,NA,3.1907,3.7642,
214,Montipora capitata,Resistant,Coral,January_2024,NA,NA,0.8368,1.0697,
219,Montipora capitata,Susceptible,Coral,January_2024,NA,NA,3.506,4.506,Dropped in wax
220,Montipora capitata,Resistant,Coral,January_2024,NA,NA,3.3861,3.9373,
221,Montipora capitata,Susceptible,Coral,January_2024,NA,NA,3.6151,4.1987,
225,Porites compressa,Susceptible,Coral,January_2024,NA,NA,8.5311,9.4342,
226,Porites compressa,Resistant,Coral,January_2024,NA,NA,9.6992,10.5589,
