"","ColonyID","Run.x","Interval","Temperature","N_points","O2_start","O2_end","DeltaT_min","DeltaT_max","O2_min","O2_max","Slope","Avg_Blank_Slope","Blank_Corrected_Slope","X","weight1.g","weight2.g","delta.mass.g","surface.area.cm2","Date","Project","Run.y","Chamber","Measured_Temperature","Chamber_Volume_mL","Surface_Area_cm2","Notes","Species","Phenotype","Chamber_Volume_L","Slope_norm"
"11","201",1,4,28,107,140.835,164.321,Inf,-Inf,140.731,164.321,0.4518338326635,-0.0890318152316722,0.540865647895172,8,2.5343,2.8677,0.3334,11.5475863942834,2023-09-22,"CAREER",4,3,29.4,378.8197985,23.38080728,NA,"Montipora capitata","Susceptible",0.3788197985,1.06458930250213
"12","201",1,5,31,114,135.76,159.174,Inf,-Inf,135.479,159.174,0.4102064172687,-0.132287764443046,0.542494181711746,8,2.5343,2.8677,0.3334,11.5475863942834,2023-09-22,"CAREER",5,3,32.5,361.1187985,23.38080728,NA,"Montipora capitata","Susceptible",0.3611187985,1.01790022817219
"13","201",1,6,34,108,125.695,132.629,Inf,-Inf,124.151,132.752,0.185113896759966,-0.136575681995632,0.321689578755598,8,2.5343,2.8677,0.3334,11.5475863942834,2023-09-22,"CAREER",6,3,35.5,371.2247985,23.38080728,NA,"Montipora capitata","Susceptible",0.3712247985,0.620488879540481
"14","201",1,7,38,109,102.831,86.049,Inf,-Inf,86.049,102.831,-0.305219862490446,-0.134444378129151,-0.170775484361295,8,2.5343,2.8677,0.3334,11.5475863942834,2023-09-22,"CAREER",7,3,39.4,377.5217985,23.38080728,NA,"Montipora capitata","Susceptible",0.3775217985,-0.334986719100199
"15","203",1,1,18,102,268.986,294.129,Inf,-Inf,268.918,294.129,0.569472556856265,-0.052976276224463,0.622448833080728,10,6.0365,6.9954,0.9589,33.2122993205708,2023-09-22,"CAREER",1,1,19.5,358.8422838,25.43936205,NA,"Montipora capitata","Susceptible",0.3588422838,0.40351490028814
"16","203",1,2,22,102,252.8,281.093,Inf,-Inf,252.713,281.093,0.654601228211824,-0.0749550795075065,0.72955630771933,10,6.0365,6.9954,0.9589,33.2122993205708,2023-09-22,"CAREER",2,1,23.2,369.1082838,25.43936205,NA,"Montipora capitata","Susceptible",0.3691082838,0.486479916512661
"17","203",1,3,25,106,238.873,276.104,Inf,-Inf,237.643,276.104,0.843720716020409,-0.0802697818267523,0.923990497847161,10,6.0365,6.9954,0.9589,33.2122993205708,2023-09-22,"CAREER",3,1,26.4,369.4812838,25.43936205,NA,"Montipora capitata","Susceptible",0.3694812838,0.616754399450058
"18","203",1,4,28,107,210.737,255.91,Inf,-Inf,210.65,255.91,0.902141238053874,-0.0890318152316722,0.991173053285546,10,6.0365,6.9954,0.9589,33.2122993205708,2023-09-22,"CAREER",4,1,29.4,369.7832838,25.43936205,NA,"Montipora capitata","Susceptible",0.3697832838,0.662138847275153
"19","203",1,5,31,114,206.322,252.727,Inf,-Inf,205.933,252.727,0.752452413250698,-0.132287764443046,0.884740177693744,10,6.0365,6.9954,0.9589,33.2122993205708,2023-09-22,"CAREER",5,1,32.5,373.2332838,25.43936205,NA,"Montipora capitata","Susceptible",0.3732332838,0.596552160348451
"20","203",1,6,34,108,195.394,213.296,Inf,-Inf,192.693,213.296,0.430094371482173,-0.136575681995632,0.566670053477805,10,6.0365,6.9954,0.9589,33.2122993205708,2023-09-22,"CAREER",6,1,35.5,373.6552838,25.43936205,NA,"Montipora capitata","Susceptible",0.3736552838,0.382519603854223
"21","203",1,7,38,109,173.231,145.662,Inf,-Inf,145.662,173.231,-0.456966734129248,-0.134444378129151,-0.322522356000097,10,6.0365,6.9954,0.9589,33.2122993205708,2023-09-22,"CAREER",7,1,39.4,377.6002838,25.43936205,NA,"Montipora capitata","Susceptible",0.3776002838,-0.220011024196782
"22","212",1,1,18,102,229.887,257.137,Inf,-Inf,229.645,257.137,0.639049202300549,-0.052976276224463,0.692025478525012,NA,NA,NA,NA,NA,2023-09-22,"CAREER",1,5,19.5,364.6015373,37.65256827,NA,"Montipora capitata","Resistant",0.3646015373,NA
"23","212",1,2,22,102,214.035,251.548,Inf,-Inf,213.551,251.548,0.831682396948982,-0.0749550795075065,0.906637476456489,NA,NA,NA,NA,NA,2023-09-22,"CAREER",2,5,23.2,366.8935373,37.65256827,NA,"Montipora capitata","Resistant",0.3668935373,NA
"24","212",1,3,25,107,208.24,248.71,Inf,-Inf,200.815,364.456,0.989249798561659,-0.0802697818267523,1.06951958038841,NA,NA,NA,NA,NA,2023-09-22,"CAREER",3,5,26.4,362.7255373,37.65256827,NA,"Montipora capitata","Resistant",0.3627255373,NA
"25","212",1,4,28,107,184.461,243.548,Inf,-Inf,184.043,243.548,1.34607524699122,-0.0890318152316722,1.43510706222289,NA,NA,NA,NA,NA,2023-09-22,"CAREER",4,5,29.4,364.5265373,37.65256827,NA,"Montipora capitata","Resistant",0.3645265373,NA
"26","212",1,5,31,114,179.551,240.921,Inf,-Inf,178.594,240.921,1.34583781320069,-0.132287764443046,1.47812557764373,NA,NA,NA,NA,NA,2023-09-22,"CAREER",5,5,32.5,391.9245373,37.65256827,NA,"Montipora capitata","Resistant",0.3919245373,NA
"27","212",1,6,34,108,171.448,195.439,Inf,-Inf,168.104,195.439,0.649322657855028,-0.136575681995632,0.78589833985066,NA,NA,NA,NA,NA,2023-09-22,"CAREER",6,5,35.5,390.1975373,37.65256827,NA,"Montipora capitata","Resistant",0.3901975373,NA
"28","212",1,7,38,109,153.199,103.909,Inf,-Inf,103.909,153.199,-0.83299034677769,-0.134444378129151,-0.698545968648538,NA,NA,NA,NA,NA,2023-09-22,"CAREER",7,5,39.4,382.9405373,37.65256827,NA,"Montipora capitata","Resistant",0.3829405373,NA
"29","233",1,1,18,102,234.326,264.895,Inf,-Inf,233.993,264.895,0.703356781756837,-0.052976276224463,0.7563330579813,30,1.3446,1.4923,0.1477,5.11571238882919,2023-09-22,"CAREER",1,6,19.5,363.9429982,22.76873097,NA,"Porites compressa","Susceptible",0.3639429982,3.22843154389084
"30","233",1,2,22,102,218.883,269.639,Inf,-Inf,218.883,269.639,1.05499673319147,-0.0749550795075065,1.12995181269898,30,1.3446,1.4923,0.1477,5.11571238882919,2023-09-22,"CAREER",2,6,23.2,372.4639982,22.76873097,NA,"Porites compressa","Susceptible",0.3724639982,4.93616143296346
"31","233",1,3,25,107,207.138,256.702,Inf,-Inf,206.168,256.702,1.02172846573168,-0.0802697818267523,1.10199824755843,30,1.3446,1.4923,0.1477,5.11571238882919,2023-09-22,"CAREER",3,6,26.4,370.0339982,22.76873097,NA,"Porites compressa","Susceptible",0.3700339982,4.78263967822591
"32","233",1,4,28,107,185.123,234.354,Inf,-Inf,184.776,234.354,1.00813259177465,-0.0890318152316722,1.09716440700632,30,1.3446,1.4923,0.1477,5.11571238882919,2023-09-22,"CAREER",4,6,29.4,371.4759982,22.76873097,NA,"Porites compressa","Susceptible",0.3714759982,4.78021685705592
"33","233",1,5,31,114,180.601,221.224,Inf,-Inf,179.848,221.224,0.858900900942934,-0.132287764443046,0.99118866538598,30,1.3446,1.4923,0.1477,5.11571238882919,2023-09-22,"CAREER",5,6,32.5,198.5309982,22.76873097,NA,"Porites compressa","Susceptible",0.1985309982,2.30796800351758
"34","233",1,6,34,108,170.503,202.829,Inf,-Inf,167.725,202.829,0.790085001155769,-0.136575681995632,0.926660683151401,30,1.3446,1.4923,0.1477,5.11571238882919,2023-09-22,"CAREER",6,6,35.5,367.5999982,22.76873097,NA,"Porites compressa","Susceptible",0.3675999982,3.99522615308434
"35","233",1,7,38,109,153.388,141.678,Inf,-Inf,141.678,153.388,-0.241877000338566,-0.134444378129151,-0.107432622209415,30,1.3446,1.4923,0.1477,5.11571238882919,2023-09-22,"CAREER",7,6,39.4,358.9659982,22.76873097,NA,"Porites compressa","Susceptible",0.3589659982,-0.452308365359126
"36","240",1,1,18,102,235.179,295.337,Inf,-Inf,235.179,295.337,1.25783934170443,-0.052976276224463,1.31081561792889,37,3.2409,3.6371,0.3962,13.7227166449162,2023-09-22,"CAREER",1,4,19.5,356.5684014,29.29768844,NA,"Porites compressa","Resistant",0.3565684014,2.04359869044535
"37","240",1,2,22,102,224.151,297.081,Inf,-Inf,224.151,297.081,1.46595119385753,-0.0749550795075065,1.54090627336504,37,3.2409,3.6371,0.3962,13.7227166449162,2023-09-22,"CAREER",2,4,23.2,377.4634014,29.29768844,NA,"Porites compressa","Resistant",0.3774634014,2.54309290893262
"38","240",1,3,25,107,208.944,292.983,Inf,-Inf,208.562,292.983,1.66446750126394,-0.0802697818267523,1.74473728309069,37,3.2409,3.6371,0.3962,13.7227166449162,2023-09-22,"CAREER",3,4,26.4,373.9954014,29.29768844,NA,"Porites compressa","Resistant",0.3739954014,2.85303735730251
"39","240",1,4,28,107,188.066,289.547,Inf,-Inf,188.066,289.547,2.00259770061136,-0.0890318152316722,2.09162951584303,37,3.2409,3.6371,0.3962,13.7227166449162,2023-09-22,"CAREER",4,4,29.4,374.9534014,29.29768844,NA,"Porites compressa","Resistant",0.3749534014,3.42904523234263
"40","240",1,5,31,114,182.349,286.746,Inf,-Inf,182.349,286.746,2.24136074363346,-0.132287764443046,2.3736485080765,37,3.2409,3.6371,0.3962,13.7227166449162,2023-09-22,"CAREER",5,4,32.5,377.4974014,29.29768844,NA,"Porites compressa","Resistant",0.3774974014,3.91779339392461
"41","240",1,6,34,108,170.509,242.52,Inf,-Inf,170.258,242.52,1.52397751518522,-0.136575681995632,1.66055319718085,37,3.2409,3.6371,0.3962,13.7227166449162,2023-09-22,"CAREER",6,4,35.5,364.7174014,29.29768844,NA,"Porites compressa","Resistant",0.3647174014,2.64801494908064
"42","240",1,7,38,109,153.41,145.527,Inf,-Inf,145.527,153.41,-0.187975061353564,-0.134444378129151,-0.0535306832244125,37,3.2409,3.6371,0.3962,13.7227166449162,2023-09-22,"CAREER",7,4,39.4,361.8024014,29.29768844,NA,"Porites compressa","Resistant",0.3618024014,-0.0846808845813346
"43","243",1,1,18,102,231.083,271.059,Inf,-Inf,231.025,271.059,0.867076613609794,-0.052976276224463,0.920052889834257,40,2.286,2.5232,0.2372,8.21561935430118,2023-09-22,"CAREER",1,2,19.5,365.8583961,25.90313869,NA,"Porites compressa","Susceptible",0.3658583961,2.45831064039527
"44","243",1,2,22,102,218.532,273.461,Inf,-Inf,218.532,273.461,1.13093202005313,-0.0749550795075065,1.20588709956063,40,2.286,2.5232,0.2372,8.21561935430118,2023-09-22,"CAREER",2,2,23.2,359.0313961,25.90313869,NA,"Porites compressa","Susceptible",0.3590313961,3.16191374178674
"45","243",1,3,25,107,208.078,257.22,Inf,-Inf,207.099,257.22,0.941179831932772,-0.0802697818267523,1.02144961375952,40,2.286,2.5232,0.2372,8.21561935430118,2023-09-22,"CAREER",3,2,26.4,376.3683961,25.90313869,NA,"Porites compressa","Susceptible",0.3763683961,2.8076375224933
"46","243",1,4,28,107,184.062,242.532,Inf,-Inf,184.062,242.532,1.11981922043011,-0.0890318152316722,1.20885103566178,40,2.286,2.5232,0.2372,8.21561935430118,2023-09-22,"CAREER",4,2,29.4,367.3003961,25.90313869,NA,"Porites compressa","Susceptible",0.3673003961,3.24268770309089
"47","243",1,5,31,114,181.133,235.042,Inf,-Inf,181.133,235.042,0.980554598138161,-0.132287764443046,1.11284236258121,40,2.286,2.5232,0.2372,8.21561935430118,2023-09-22,"CAREER",5,2,32.5,347.9803961,25.90313869,NA,"Porites compressa","Susceptible",0.3479803961,2.82813000038857
"48","243",1,6,34,108,170.393,210.421,Inf,-Inf,169.914,210.421,0.822669235744043,-0.136575681995632,0.959244917739676,40,2.286,2.5232,0.2372,8.21561935430118,2023-09-22,"CAREER",6,2,35.5,361.2183961,25.90313869,NA,"Porites compressa","Susceptible",0.3612183961,2.5305231100192
"49","243",1,7,38,109,154.27,135.704,Inf,-Inf,135.704,154.27,-0.267201214574896,-0.134444378129151,-0.132756836445745,40,2.286,2.5232,0.2372,8.21561935430118,2023-09-22,"CAREER",7,2,39.4,360.7263961,25.90313869,NA,"Porites compressa","Susceptible",0.3607263961,-0.349740364811127
"50","29",1,1,18,102,223.964,262.922,Inf,-Inf,223.964,262.922,0.821346386478544,-0.052976276224463,0.874322662703007,23,4.0736,4.5164,0.4428,15.3367464168826,2023-09-22,"CAREER",1,8,19.5,365.514796,24.02604475,NA,"Porites compressa","Susceptible",0.365514796,1.25024380403503
"51","29",1,2,22,102,212.53,262.203,Inf,-Inf,212.53,262.203,1.01028776159434,-0.0749550795075065,1.08524284110185,23,4.0736,4.5164,0.4428,15.3367464168826,2023-09-22,"CAREER",2,8,23.2,365.100796,24.02604475,NA,"Porites compressa","Susceptible",0.365100796,1.55009288555528
"52","29",1,3,25,107,200.816,259.929,Inf,-Inf,200.248,259.929,1.2498179058536,-0.0802697818267523,1.33008768768035,23,4.0736,4.5164,0.4428,15.3367464168826,2023-09-22,"CAREER",3,8,26.4,369.708796,24.02604475,NA,"Porites compressa","Susceptible",0.369708796,1.92379180389427
"53","29",1,4,28,107,179.058,240.852,Inf,-Inf,179.058,240.852,1.17797861166465,-0.0890318152316722,1.26701042689632,23,4.0736,4.5164,0.4428,15.3367464168826,2023-09-22,"CAREER",4,8,29.4,363.477796,24.02604475,NA,"Porites compressa","Susceptible",0.363477796,1.80167349042302
"54","29",1,5,31,114,175.466,228.712,Inf,-Inf,175.466,228.712,1.15797317173838,-0.132287764443046,1.29026093618143,23,4.0736,4.5164,0.4428,15.3367464168826,2023-09-22,"CAREER",5,8,32.5,363.026796,24.02604475,NA,"Porites compressa","Susceptible",0.363026796,1.83245890986484
"55","29",1,6,34,108,165.633,193.792,Inf,-Inf,165.228,193.792,0.576631953139566,-0.136575681995632,0.713207635135198,23,4.0736,4.5164,0.4428,15.3367464168826,2023-09-22,"CAREER",6,8,35.5,366.614796,24.02604475,NA,"Porites compressa","Susceptible",0.366614796,1.02292545453932
"56","29",1,7,38,109,148.177,124.324,Inf,-Inf,124.324,148.177,-0.470075605419987,-0.134444378129151,-0.335631227290836,23,4.0736,4.5164,0.4428,15.3367464168826,2023-09-22,"CAREER",7,8,39.4,362.918796,24.02604475,NA,"Porites compressa","Susceptible",0.362918796,-0.476529549087315
"57","41",1,1,18,101,227.876,289.602,Inf,-Inf,227.876,289.602,1.33754448253101,-0.052976276224463,1.39052075875547,24,2.4033,2.728,0.3247,11.2462546557403,2023-09-22,"CAREER",1,9,19.5,356.0992759,41.14552142,NA,"Porites compressa","Susceptible",0.3560992759,2.64175114546603
"58","41",1,2,22,102,214.647,318.74,Inf,-Inf,214.647,318.74,2.26548705440901,-0.0749550795075065,2.34044213391651,24,2.4033,2.728,0.3247,11.2462546557403,2023-09-22,"CAREER",2,9,23.2,353.6382759,41.14552142,NA,"Porites compressa","Susceptible",0.3536382759,4.41570965490895
"59","41",1,3,25,107,199.883,307.774,Inf,-Inf,199.449,307.774,2.23062071678322,-0.0802697818267523,2.31089049860997,24,2.4033,2.728,0.3247,11.2462546557403,2023-09-22,"CAREER",3,9,26.4,358.0712759,41.14552142,NA,"Porites compressa","Susceptible",0.3580712759,4.41460842546424
"60","41",1,4,28,107,178.442,305.589,Inf,-Inf,178.442,305.589,2.65750575817282,-0.0890318152316722,2.7465375734045,24,2.4033,2.728,0.3247,11.2462546557403,2023-09-22,"CAREER",4,9,29.4,344.2592759,41.14552142,NA,"Porites compressa","Susceptible",0.3442592759,5.04445825848215
"61","41",1,5,31,114,174.065,295.123,Inf,-Inf,174.065,295.123,2.36739622231872,-0.132287764443046,2.49968398676176,24,2.4033,2.728,0.3247,11.2462546557403,2023-09-22,"CAREER",5,9,32.5,367.6102759,41.14552142,NA,"Porites compressa","Susceptible",0.3676102759,4.90248290563441
"62","41",1,6,34,108,160.973,230.766,Inf,-Inf,160.973,230.766,1.42683910784362,-0.136575681995632,1.56341478983926,24,2.4033,2.728,0.3247,11.2462546557403,2023-09-22,"CAREER",6,9,35.5,362.8332759,41.14552142,NA,"Porites compressa","Susceptible",0.3628332759,3.02638839588261
"63","41",1,7,38,109,145.062,122.743,Inf,-Inf,122.743,145.062,-0.531432633727236,-0.134444378129151,-0.396988255598085,24,2.4033,2.728,0.3247,11.2462546557403,2023-09-22,"CAREER",7,9,39.4,359.2252759,41.14552142,NA,"Porites compressa","Susceptible",0.3592252759,-0.760830445397172
"64","12",2,1,18,103,216.158,235.255,Inf,-Inf,216.072,235.255,0.40090643289295,-0.052976276224463,0.453882709117413,5,1.5257,1.7165,0.1908,6.60851674873804,2023-09-23,"CAREER",8,10,19.5,371.8286789,25.92088563,NA,"Montipora capitata","Resistant",0.3718286789,1.53226463235256
"65","12",2,2,22,106,213.721,237.162,Inf,-Inf,213.514,237.162,0.522946982658874,-0.0749550795075065,0.597902062166381,5,1.5257,1.7165,0.1908,6.60851674873804,2023-09-23,"CAREER",9,10,23.2,377.4556789,25.92088563,NA,"Montipora capitata","Resistant",0.3774556789,2.04900619038743
"66","12",2,3,25,110,199.076,231.84,Inf,-Inf,198.744,231.84,0.74768071451709,-0.0802697818267523,0.827950496343843,5,1.5257,1.7165,0.1908,6.60851674873804,2023-09-23,"CAREER",10,10,26.4,375.2306789,25.92088563,NA,"Montipora capitata","Resistant",0.3752306789,2.82065496979804
"67","12",2,4,28,112,191.97,236.473,Inf,-Inf,191.936,236.473,0.95438480573545,-0.0890318152316722,1.04341662096712,5,1.5257,1.7165,0.1908,6.60851674873804,2023-09-23,"CAREER",11,10,29.4,342.7556789,25.92088563,NA,"Montipora capitata","Resistant",0.3427556789,3.24705514922172
"68","12",2,5,31,114,184.483,223.367,Inf,-Inf,183.21,223.386,0.93910479671823,-0.132287764443046,1.07139256116128,5,1.5257,1.7165,0.1908,6.60851674873804,2023-09-23,"CAREER",12,10,32.5,375.9706789,25.92088563,NA,"Montipora capitata","Resistant",0.3759706789,3.65720966356151
"69","12",2,6,34,111,165.305,185.145,Inf,-Inf,164.832,185.145,0.462130474176983,-0.136575681995632,0.598706156172615,5,1.5257,1.7165,0.1908,6.60851674873804,2023-09-23,"CAREER",13,10,35.5,379.0256789,25.92088563,NA,"Montipora capitata","Resistant",0.3790256789,2.06029597199646
"70","12",2,7,38,108,148.134,125.578,Inf,-Inf,125.578,148.134,-0.439423224569385,-0.134444378129151,-0.304978846440234,5,1.5257,1.7165,0.1908,6.60851674873804,2023-09-23,"CAREER",14,10,39.4,373.2706789,25.92088563,NA,"Montipora capitata","Resistant",0.3732706789,-1.03357227095739
"71","206",2,1,18,103,252.224,330.791,Inf,-Inf,252.224,330.791,1.68799949347514,-0.052976276224463,1.7409757696996,13,3.0603,3.7422,0.6819,23.6181738520151,2023-09-23,"CAREER",8,1,19.5,347.1227818,57.74845187,NA,"Montipora capitata","Resistant",0.3471227818,1.53525591608674
"72","206",2,2,22,106,244.758,335.191,Inf,-Inf,244.469,335.191,1.78365212521591,-0.0749550795075065,1.85860720472341,13,3.0603,3.7422,0.6819,23.6181738520151,2023-09-23,"CAREER",9,1,23.2,354.3167818,57.74845187,NA,"Montipora capitata","Resistant",0.3543167818,1.67295505791623
"73","206",2,3,25,110,229.29,359.28,Inf,-Inf,229.264,359.28,2.48767919962096,-0.0802697818267523,2.56794898144771,13,3.0603,3.7422,0.6819,23.6181738520151,2023-09-23,"CAREER",10,1,26.4,350.7787818,57.74845187,NA,"Montipora capitata","Resistant",0.3507787818,2.28836155008638
"74","206",2,4,28,112,214.254,379.673,Inf,-Inf,213.857,379.673,3.27485859258207,-0.0890318152316722,3.36389040781374,13,3.0603,3.7422,0.6819,23.6181738520151,2023-09-23,"CAREER",11,1,29.4,350.4497818,57.74845187,NA,"Montipora capitata","Resistant",0.3504497818,2.99483270841498
"75","206",2,5,31,114,204.704,346.517,Inf,-Inf,203.494,346.517,2.99768023157834,-0.132287764443046,3.12996799602139,13,3.0603,3.7422,0.6819,23.6181738520151,2023-09-23,"CAREER",12,1,32.5,340.8887818,57.74845187,NA,"Montipora capitata","Resistant",0.3408887818,2.71055074093889
"76","206",2,6,34,111,185.149,263.162,Inf,-Inf,185.149,263.162,1.54024574583274,-0.136575681995632,1.67682142782838,13,3.0603,3.7422,0.6819,23.6181738520151,2023-09-23,"CAREER",13,1,35.5,361.3107818,57.74845187,NA,"Montipora capitata","Resistant",0.3613107818,1.539120674165
"77","206",2,7,38,108,182.421,118.808,Inf,-Inf,118.808,185.003,-0.808890142393724,-0.134444378129151,-0.674445764264572,13,3.0603,3.7422,0.6819,23.6181738520151,2023-09-23,"CAREER",14,1,39.4,357.1967818,57.74845187,NA,"Montipora capitata","Resistant",0.3571967818,-0.612011389204146
"78","209",2,1,18,103,168.962,185.123,Inf,-Inf,168.962,185.274,0.363898824117527,-0.052976276224463,0.41687510034199,14,1.2837,1.5193,0.2356,8.16020202307487,2023-09-23,"CAREER",8,7,19.5,364.2631353,26.63296658,NA,"Montipora capitata","Susceptible",0.3642631353,1.11653287982095
"79","209",2,2,22,106,170.379,188.6,Inf,-Inf,170.379,188.6,0.342182726808712,-0.0749550795075065,0.417137806316218,14,1.2837,1.5193,0.2356,8.16020202307487,2023-09-23,"CAREER",9,7,23.2,352.8091353,26.63296658,NA,"Montipora capitata","Susceptible",0.3528091353,1.08210577383653
"80","209",2,3,25,110,160.284,186.384,Inf,-Inf,160.284,186.408,0.519055466707035,-0.0802697818267523,0.599325248533787,14,1.2837,1.5193,0.2356,8.16020202307487,2023-09-23,"CAREER",10,7,26.4,352.4851353,26.63296658,NA,"Montipora capitata","Susceptible",0.3524851353,1.55329420071295
"81","209",2,4,28,112,153.589,180.34,Inf,-Inf,153.589,180.34,0.463645793929436,-0.0890318152316722,0.552677609161108,14,1.2837,1.5193,0.2356,8.16020202307487,2023-09-23,"CAREER",11,7,29.4,362.3581353,26.63296658,NA,"Montipora capitata","Susceptible",0.3623581353,1.47251668998914
"82","209",2,5,31,114,145.51,170.916,Inf,-Inf,145.254,171.188,0.472144687595273,-0.132287764443046,0.604432452038318,14,1.2837,1.5193,0.2356,8.16020202307487,2023-09-23,"CAREER",12,7,32.5,351.9231353,26.63296658,NA,"Montipora capitata","Susceptible",0.3519231353,1.56403306925658
"83","209",2,6,34,111,130.025,138.408,Inf,-Inf,129.915,138.553,0.184415737619912,-0.136575681995632,0.320991419615544,14,1.2837,1.5193,0.2356,8.16020202307487,2023-09-23,"CAREER",13,7,35.5,383.7611353,26.63296658,NA,"Montipora capitata","Susceptible",0.3837611353,0.905742514204098
"84","209",2,7,38,108,110.351,91.026,Inf,-Inf,91.026,110.351,-0.395588275975542,-0.134444378129151,-0.261143897846391,14,1.2837,1.5193,0.2356,8.16020202307487,2023-09-23,"CAREER",14,7,39.4,371.3211353,26.63296658,NA,"Montipora capitata","Susceptible",0.3713211353,-0.712984176255358
"85","221",2,1,18,103,216.551,241.529,Inf,-Inf,216.513,241.529,0.526524618485115,-0.052976276224463,0.579500894709578,19,4.0376,4.5926,0.555,19.222886769128,2023-09-23,"CAREER",8,5,19.5,365.5359924,26.07098054,NA,"Montipora capitata","Susceptible",0.3655359924,0.661175724089111
"86","221",2,2,22,106,216.083,239.942,Inf,-Inf,216.083,239.942,0.43266739504684,-0.0749550795075065,0.507622474554346,19,4.0376,4.5926,0.555,19.222886769128,2023-09-23,"CAREER",9,5,23.2,373.9909924,26.07098054,NA,"Montipora capitata","Susceptible",0.3739909924,0.592563131552178
"87","221",2,3,25,110,203.137,234.905,Inf,-Inf,203.137,234.905,0.568385576923077,-0.0802697818267523,0.648655358749829,19,4.0376,4.5926,0.555,19.222886769128,2023-09-23,"CAREER",10,5,26.4,356.9489924,26.07098054,NA,"Montipora capitata","Susceptible",0.3569489924,0.722691277854669
"88","221",2,4,28,112,195.202,230.772,Inf,-Inf,194.934,230.772,0.71171104617183,-0.0890318152316722,0.800742861403503,19,4.0376,4.5926,0.555,19.222886769128,2023-09-23,"CAREER",11,5,29.4,366.8709924,26.07098054,NA,"Montipora capitata","Susceptible",0.3668709924,0.916936145174968
"89","221",2,5,31,114,187.055,223.369,Inf,-Inf,187.055,223.369,0.685219203862431,-0.132287764443046,0.817506968305477,19,4.0376,4.5926,0.555,19.222886769128,2023-09-23,"CAREER",12,5,32.5,366.1739924,26.07098054,NA,"Montipora capitata","Susceptible",0.3661739924,0.934354326676865
