Run,Light_Level_Percent,Light_Value,Date,Start.time,Stop.time,Length,Notes
1,10,163,2025-01-09,8:34,8:49,15 mins,
1,20,287,2025-01-09,8:50,8:59,10 mins,
1,40,538,2025-01-09,9:00,9:10,10 mins,
1,60,778,2025-01-09,9:11,9:20,10 mins,
1,80,1051,2025-01-09,9:21,9:31,10 mins,
1,100,1297,2025-01-09,9:32,9:47,15 mins,
1,0,0,2025-01-09,9:48,10:03,15 mins,
2,10,163,2025-01-09,10:27,10:41,15 mins,Spike in 6 and 7 because realized the temp probes were switched. Placed in correct spots. 7 is the blank
2,20,287,2025-01-09,10:42,10:51,10 mins,
2,40,538,2025-01-09,10:52,11:01,10 mins,
2,60,778,2025-01-09,11:02,11:12,10 mins,
2,80,1051,2025-01-09,11:13,11:22,10 mins,
2,100,1297,2025-01-09,11:23,11:38,15 mins,
2,0,0,2025-01-09,11:39,11:54,15 mins,
3,10,163,2025-01-09,12:15,12:29,15 mins,
3,20,287,2025-01-09,12:30,12:44,15 mins,
3,40,538,2025-01-09,12:45,12:54,10 mins,
3,60,778,2025-01-09,12:55,13:04,10 mins,12:56pm Bubble on probe 5
3,80,1051,2025-01-09,13:05,13:14,10 mins,
3,100,1297,2025-01-09,13:05,13:30,15 mins,"100% light level - 3 not showing a huge range, may not be usable. Will have space to rerun in later runs → maybe ok in the end, not putting into last run"
3,0,0,2025-01-09,13:31,13:46,15 mins,
4,10,163,2025-01-09,14:00,14:14,15 mins,
4,20,287,2025-01-09,14:15,14:24,10 mins,
4,40,538,2025-01-09,14:25,14:34,10 mins,
4,60,778,2025-01-09,14:35,14:44,10 mins,
4,80,1051,2025-01-09,14:45,14:54,10 mins,
4,100,1297,2025-01-09,14:55,15:09,15 mins,
4,0,0,2025-01-09,15:10,15:25,15 mins,
5,10,163,2025-01-09,15:37,15:51,15 mins,
5,20,287,2025-01-09,15:52,16:01,10 mins,
5,40,538,2025-01-09,16:02,16:11,10 mins,
5,60,778,2025-01-09,16:12,16:21,10 mins,
5,80,1051,2025-01-09,16:22,16:31,10 mins,
5,100,1297,2025-01-09,16:32,16:46,15 mins,
5,0,0,2025-01-09,16:47,17:02,15 mins,
1,10,139,2025-05-08,8:23,8:37,15 mins,
1,20,267,2025-05-08,8:38,8:48,10 mins,
1,40,385,2025-05-08,8:49,8:58,10 mins,
1,60,716,2025-05-08,8:59,9:08,10 mins,
1,80,930,2025-05-08,9:09,9:18,10 mins,
1,100,1243,2025-05-08,9:19,9:33,15 mins,
1,0,0,2025-05-08,9:34,9:49,15 mins,
2,10,139,2025-05-08,10:09,10:23,15 mins,
2,20,267,2025-05-08,10:24,10:33,10 mins,
2,40,385,2025-05-08,10:34,10:43,10 mins,
2,60,716,2025-05-08,10:44,10:53,10 mins,
2,80,930,2025-05-08,10:54,11:03,10 mins,
2,100,1243,2025-05-08,11:04,11:20,15 mins,
2,0,0,2025-05-08,11:21,11:36,15 mins,
3,10,139,2025-05-08,11:51,12:04,15 mins,
3,20,267,2025-05-08,12:05,12:14,10 mins,
3,40,385,2025-05-08,12:15,12:24,10 mins,
3,60,716,2025-05-08,12:25,12:34,10 mins,
3,80,930,2025-05-08,12:35,12:44,10 mins,
3,100,1243,2025-05-08,12:45,12:59,15 mins,
3,0,0,2025-05-08,13:00,13:15,15 mins,
4,10,139,2025-05-08,13:30,13:44,15 mins,
4,20,267,2025-05-08,13:45,13:54,10 mins,
4,40,385,2025-05-08,13:55,14:04,10 mins,
4,60,716,2025-05-08,14:05,14:14,10 mins,
4,80,930,2025-05-08,14:15,14:25,10 mins,
4,100,1243,2025-05-08,14:26,14:40,15 mins,
4,0,0,2025-05-08,14:41,14:59,15 mins,
5,10,139,2025-05-08,15:09,15:24,15 mins,
5,20,267,2025-05-08,15:25,15:34,10 mins,
5,40,385,2025-05-08,15:35,15:44,10 mins,
5,60,716,2025-05-08,15:45,15:54,10 mins,
5,80,930,2025-05-08,15:55,16:04,10 mins,
5,100,1243,2025-05-08,16:05,16:20,15 mins,
5,0,0,2025-05-08,16:21,16:36,15 mins,
1,10,220,2025-10-02,8:35,8:50,15 mins,
1,20,445,2025-10-02,8:52,9:02,10 mins,
1,40,707,2025-10-02,9:03,9:14,10 mins,
1,60,1013,2025-10-02,9:15,9:25,10 mins,
1,80,1284,2025-10-02,9:26,9:36,10 mins,
1,100,1570,2025-10-02,9:37,9:53,15 mins,
1,0,0,2025-10-02,9:54,10:10,15 mins,
2,10,220,2025-10-02,10:33,10:49,15 mins,
2,20,445,2025-10-02,10:50,11:00,10 mins,
2,40,707,2025-10-02,11:01,11:11,10 mins,
2,60,1013,2025-10-02,11:12,11:22,10 mins,
2,80,1284,2025-10-02,11:23,11:33,10 mins,
