Colony_ID,Species,Phenotype,Date,Fv_Fm,PAM_type
238,Porites compressa,Resistant,January_2025,0.589851691,Imaging PAM - CRL
239,Porites compressa,Susceptible,January_2025,0.529269758,Imaging PAM - CRL
240,Porites compressa,Resistant,January_2025,0.575508128,Imaging PAM - CRL
241,Porites compressa,Susceptible,January_2025,0.541967353,Imaging PAM - CRL
242,Porites compressa,Resistant,January_2025,0.572011926,Imaging PAM - CRL
243,Porites compressa,Susceptible,January_2025,0.650548928,Imaging PAM - CRL
244,Porites compressa,Resistant,January_2025,0.609671939,Imaging PAM - CRL
247,Porites compressa,Susceptible,January_2025,0.587003387,Imaging PAM - CRL
248,Porites compressa,Resistant,January_2025,0.597817089,Imaging PAM - CRL
1,Montipora capitata,Susceptible,May_2025,0.588333444,Imaging PAM - CRL
2,Montipora capitata,Resistant,May_2025,0.538687268,Imaging PAM - CRL
3,Montipora capitata,Susceptible,May_2025,0.570407556,Imaging PAM - CRL
4,Montipora capitata,Resistant,May_2025,0.5397943,Imaging PAM - CRL
12,Montipora capitata,Resistant,May_2025,0.512334457,Imaging PAM - CRL
19,Montipora capitata,Susceptible,May_2025,0.590332146,Imaging PAM - CRL
20,Montipora capitata,Resistant,May_2025,0.585107076,Imaging PAM - CRL
26,Porites compressa,Susceptible,May_2025,0.590749112,Imaging PAM - CRL
27,Porites compressa,Resistant,May_2025,0.535054709,Imaging PAM - CRL
28,Porites compressa,Susceptible,May_2025,0.584195329,Imaging PAM - CRL
29,Porites compressa,Resistant,May_2025,0.482719204,Imaging PAM - CRL
41,Porites compressa,Susceptible,May_2025,0.584708303,Imaging PAM - CRL
42,Porites compressa,Resistant,May_2025,0.57805669,Imaging PAM - CRL
43,Porites compressa,Susceptible,May_2025,0.560683287,Imaging PAM - CRL
44,Porites compressa,Resistant,May_2025,0.539824964,Imaging PAM - CRL
201,Montipora capitata,Susceptible,May_2025,0.636368339,Imaging PAM - CRL
202,Montipora capitata,Resistant,May_2025,0.644897591,Imaging PAM - CRL
203,Montipora capitata,Susceptible,May_2025,0.596181195,Imaging PAM - CRL
204,Montipora capitata,Resistant,May_2025,0.589220038,Imaging PAM - CRL
205,Montipora capitata,Susceptible,May_2025,0.578218458,Imaging PAM - CRL
206,Montipora capitata,Resistant,May_2025,0.577295834,Imaging PAM - CRL
209,Montipora capitata,Susceptible,May_2025,0.56094602,Imaging PAM - CRL
210,Montipora capitata,Resistant,May_2025,0.615912077,Imaging PAM - CRL
211,Montipora capitata,Susceptible,May_2025,0.603605907,Imaging PAM - CRL
213,Montipora capitata,Susceptible,May_2025,0.552463826,Imaging PAM - CRL
214,Montipora capitata,Resistant,May_2025,0.58013111,Imaging PAM - CRL
219,Montipora capitata,Susceptible,May_2025,0.640514448,Imaging PAM - CRL
220,Montipora capitata,Resistant,May_2025,0.592203194,Imaging PAM - CRL
221,Montipora capitata,Susceptible,May_2025,0.596866164,Imaging PAM - CRL
225,Porites compressa,Susceptible,May_2025,0.518995501,Imaging PAM - CRL
226,Porites compressa,Resistant,May_2025,0.500978418,Imaging PAM - CRL
233,Porites compressa,Susceptible,May_2025,0.52428785,Imaging PAM - CRL
234,Porites compressa,Resistant,May_2025,0.588983251,Imaging PAM - CRL
235,Porites compressa,Susceptible,May_2025,0.588649462,Imaging PAM - CRL
236,Porites compressa,Resistant,May_2025,0.569027209,Imaging PAM - CRL
237,Porites compressa,Susceptible,May_2025,0.584369285,Imaging PAM - CRL
238,Porites compressa,Resistant,May_2025,0.54747553,Imaging PAM - CRL
239,Porites compressa,Susceptible,May_2025,0.538536688,Imaging PAM - CRL
240,Porites compressa,Resistant,May_2025,0.535892891,Imaging PAM - CRL
241,Porites compressa,Susceptible,May_2025,0.532475162,Imaging PAM - CRL
242,Porites compressa,Resistant,May_2025,0.55182853,Imaging PAM - CRL
243,Porites compressa,Susceptible,May_2025,0.586327805,Imaging PAM - CRL
244,Porites compressa,Resistant,May_2025,0.580521151,Imaging PAM - CRL
247,Porites compressa,Susceptible,May_2025,0.568369011,Imaging PAM - CRL
248,Porites compressa,Resistant,May_2025,0.569596528,Imaging PAM - CRL
1,Montipora capitata,Susceptible,October_2025,0.609,Mini PAM - ToBo 
2,Montipora capitata,Resistant,October_2025,0.63,Mini PAM - ToBo 
3,Montipora capitata,Susceptible,October_2025,0.613,Mini PAM - ToBo 
4,Montipora capitata,Resistant,October_2025,0.65,Mini PAM - ToBo 
12,Montipora capitata,Resistant,October_2025,0.613,Mini PAM - ToBo 
19,Montipora capitata,Susceptible,October_2025,0.685,Mini PAM - ToBo 
20,Montipora capitata,Resistant,October_2025,0.663,Mini PAM - ToBo 
26,Porites compressa,Susceptible,October_2025,0.571,Mini PAM - ToBo 
27,Porites compressa,Resistant,October_2025,0.618,Mini PAM - ToBo 
28,Porites compressa,Susceptible,October_2025,0.641,Mini PAM - ToBo 
29,Porites compressa,Resistant,October_2025,0.58,Mini PAM - ToBo 
41,Porites compressa,Susceptible,October_2025,0.629,Mini PAM - ToBo 
42,Porites compressa,Resistant,October_2025,0.629,Mini PAM - ToBo 
43,Porites compressa,Susceptible,October_2025,0.64,Mini PAM - ToBo 
44,Porites compressa,Resistant,October_2025,0.612,Mini PAM - ToBo 
201,Montipora capitata,Susceptible,October_2025,0.76,Mini PAM - ToBo 
202,Montipora capitata,Resistant,October_2025,0.598,Mini PAM - ToBo 
203,Montipora capitata,Susceptible,October_2025,0.665,Mini PAM - ToBo 
204,Montipora capitata,Resistant,October_2025,0.624,Mini PAM - ToBo 
205,Montipora capitata,Susceptible,October_2025,0.619,Mini PAM - ToBo 
206,Montipora capitata,Resistant,October_2025,0.657,Mini PAM - ToBo 
209,Montipora capitata,Susceptible,October_2025,0.659,Mini PAM - ToBo 
210,Montipora capitata,Resistant,October_2025,0.661,Mini PAM - ToBo 
211,Montipora capitata,Susceptible,October_2025,0.629,Mini PAM - ToBo 
213,Montipora capitata,Susceptible,October_2025,0.661,Mini PAM - ToBo 
214,Montipora capitata,Resistant,October_2025,0.634,Mini PAM - ToBo 
221,Montipora capitata,Susceptible,October_2025,0.49,Mini PAM - ToBo 
225,Porites compressa,Susceptible,October_2025,0.63,Mini PAM - ToBo 
226,Porites compressa,Resistant,October_2025,0.621,Mini PAM - ToBo 
233,Porites compressa,Susceptible,October_2025,0.575,Mini PAM - ToBo 
234,Porites compressa,Resistant,October_2025,0.639,Mini PAM - ToBo 
235,Porites compressa,Susceptible,October_2025,0.624,Mini PAM - ToBo 
236,Porites compressa,Resistant,October_2025,0.602,Mini PAM - ToBo 
237,Porites compressa,Susceptible,October_2025,0.583,Mini PAM - ToBo 
238,Porites compressa,Resistant,October_2025,0.65,Mini PAM - ToBo 
239,Porites compressa,Susceptible,October_2025,0.603,Mini PAM - ToBo 
240,Porites compressa,Resistant,October_2025,0.636,Mini PAM - ToBo 
241,Porites compressa,Susceptible,October_2025,0.636,Mini PAM - ToBo 
242,Porites compressa,Resistant,October_2025,0.61,Mini PAM - ToBo 
243,Porites compressa,Susceptible,October_2025,0.621,Mini PAM - ToBo 
244,Porites compressa,Resistant,October_2025,0.632,Mini PAM - ToBo 
247,Porites compressa,Susceptible,October_2025,0.609,Mini PAM - ToBo 
248,Porites compressa,Resistant,October_2025,0.637,Mini PAM - ToBo 
1,Montipora capitata,Susceptible,January_2026,0.679,Mini PAM - ToBo 
2,Montipora capitata,Resistant,January_2026,0.605,Mini PAM - ToBo 
3,Montipora capitata,Susceptible,January_2026,0.616,Mini PAM - ToBo 
4,Montipora capitata,Resistant,January_2026,0.673,Mini PAM - ToBo 
12,Montipora capitata,Resistant,January_2026,0.593,Mini PAM - ToBo 
19,Montipora capitata,Susceptible,January_2026,0.669,Mini PAM - ToBo 
20,Montipora capitata,Resistant,January_2026,0.605,Mini PAM - ToBo 
26,Porites compressa,Susceptible,January_2026,0.601,Mini PAM - ToBo 
27,Porites compressa,Resistant,January_2026,0.664,Mini PAM - ToBo 
28,Porites compressa,Susceptible,January_2026,0.654,Mini PAM - ToBo 
29,Porites compressa,Resistant,January_2026,0.622,Mini PAM - ToBo 
41,Porites compressa,Susceptible,January_2026,0.636,Mini PAM - ToBo 
42,Porites compressa,Resistant,January_2026,0.632,Mini PAM - ToBo 
43,Porites compressa,Susceptible,January_2026,0.614,Mini PAM - ToBo 
44,Porites compressa,Resistant,January_2026,0.645,Mini PAM - ToBo 
201,Montipora capitata,Susceptible,January_2026,0.634,Mini PAM - ToBo 
202,Montipora capitata,Resistant,January_2026,0.629,Mini PAM - ToBo 
203,Montipora capitata,Susceptible,January_2026,0.655,Mini PAM - ToBo 
204,Montipora capitata,Resistant,January_2026,0.594,Mini PAM - ToBo 
205,Montipora capitata,Susceptible,January_2026,0.62,Mini PAM - ToBo 
206,Montipora capitata,Resistant,January_2026,0.673,Mini PAM - ToBo 
209,Montipora capitata,Susceptible,January_2026,0.699,Mini PAM - ToBo 
210,Montipora capitata,Resistant,January_2026,0.703,Mini PAM - ToBo 
211,Montipora capitata,Susceptible,January_2026,0.628,Mini PAM - ToBo 
213,Montipora capitata,Susceptible,January_2026,0.609,Mini PAM - ToBo 
214,Montipora capitata,Resistant,January_2026,0.65,Mini PAM - ToBo 
221,Montipora capitata,Susceptible,January_2026,0.639,Mini PAM - ToBo 
225,Porites compressa,Susceptible,January_2026,0.652,Mini PAM - ToBo 
226,Porites compressa,Resistant,January_2026,0.638,Mini PAM - ToBo 
233,Porites compressa,Susceptible,January_2026,0.637,Mini PAM - ToBo 
234,Porites compressa,Resistant,January_2026,0.65,Mini PAM - ToBo 
235,Porites compressa,Susceptible,January_2026,0.661,Mini PAM - ToBo 
236,Porites compressa,Resistant,January_2026,0.603,Mini PAM - ToBo 
237,Porites compressa,Susceptible,January_2026,0.637,Mini PAM - ToBo 
238,Porites compressa,Resistant,January_2026,0.512,Mini PAM - ToBo 
239,Porites compressa,Susceptible,January_2026,0.648,Mini PAM - ToBo 
240,Porites compressa,Resistant,January_2026,0.62,Mini PAM - ToBo 
241,Porites compressa,Susceptible,January_2026,0.652,Mini PAM - ToBo 
242,Porites compressa,Resistant,January_2026,0.636,Mini PAM - ToBo 
243,Porites compressa,Susceptible,January_2026,0.605,Mini PAM - ToBo 
244,Porites compressa,Resistant,January_2026,0.632,Mini PAM - ToBo 
247,Porites compressa,Susceptible,January_2026,0.659,Mini PAM - ToBo 
248,Porites compressa,Resistant,January_2026,0.659,Mini PAM - ToBo 
