"","Colony_ID","Pmax","Date","Species","Phenotype","Year"
"102",244,3.89073043483512,2025-10-02,"Porites compressa","Resistant","2025"
"103",234,3.29675741761821,2025-10-02,"Porites compressa","Resistant","2025"
"104",211,1.63131306031482,2025-10-02,"Montipora capitata","Susceptible","2025"
"105",19,2.31155772169738,2025-10-02,"Montipora capitata","Susceptible","2025"
"106",206,3.03802857745185,2025-10-02,"Montipora capitata","Resistant","2025"
"107",20,1.67682907745295,2025-10-02,"Montipora capitata","Resistant","2025"
"108",202,1.82029269011564,2025-10-02,"Montipora capitata","Resistant","2025"
"109",233,3.13380863695668,2025-10-02,"Porites compressa","Susceptible","2025"
"110",44,3.85802064768817,2025-10-02,"Porites compressa","Resistant","2025"
"111",226,4.79942461944556,2025-10-02,"Porites compressa","Resistant","2025"
"112",210,2.6956779209094,2025-10-02,"Montipora capitata","Resistant","2025"
"113",42,4.41093432171275,2025-10-02,"Porites compressa","Resistant","2025"
"114",239,5.55909308215022,2025-10-02,"Porites compressa","Susceptible","2025"
"115",4,1.33314886007712,2025-10-02,"Montipora capitata","Resistant","2025"
"116",41,4.81575289471484,2025-10-02,"Porites compressa","Susceptible","2025"
"117",221,2.18659934030322,2025-10-02,"Montipora capitata","Susceptible","2025"
