ColonyID,Species,Phenotype,Date,Score
201,Montipora capitata,Bleach,9/20/2016,4
202,Montipora capitata,Non-bleach,9/20/2016,1
203,Montipora capitata,Bleach,9/20/2016,3
204,Montipora capitata,Non-bleach,9/20/2016,1
209,Montipora capitata,Bleach,9/20/2016,4
210,Montipora capitata,Non-bleach,9/20/2016,2
211,Montipora capitata,Bleach,9/20/2016,3
212,Montipora capitata,Non-bleach,9/20/2016,1
219,Montipora capitata,Bleach,9/20/2016,3
220,Montipora capitata,Non-bleach,9/20/2016,1
221,Montipora capitata,Bleach,9/20/2016,2
222,Montipora capitata,Non-bleach,9/20/2016,1
229,Porites compressa,Bleach,9/20/2016,1
230,Porites compressa,Non-bleach,9/20/2016,1
237,Porites compressa,Bleach,9/20/2016,1
238,Porites compressa,Non-bleach,9/20/2016,1
239,Porites compressa,Bleach,9/20/2016,2
240,Porites compressa,Non-bleach,9/20/2016,1
243,Porites compressa,Bleach,9/20/2016,2
244,Porites compressa,Non-bleach,9/20/2016,1
247,Porites compressa,Bleach,9/20/2016,1
248,Porites compressa,Non-bleach,9/20/2016,1
3,Montipora capitata,Bleach,6/8/2017,2
4,Montipora capitata,Non-bleach,6/8/2017,1
11,Montipora capitata,Bleach,6/8/2017,2
12,Montipora capitata,Non-bleach,6/8/2017,1
20,Montipora capitata,Non-bleach,6/8/2017,1
41,Porites compressa,Bleach,6/8/2017,1
42,Porites compressa,Non-bleach,6/8/2017,1
43,Porites compressa,Bleach,6/8/2017,1
45,Porites compressa,Bleach,6/8/2017,2
46,Porites compressa,Non-bleach,6/8/2017,1
201,Montipora capitata,Bleach,6/8/2017,3
202,Montipora capitata,Non-bleach,6/8/2017,1
203,Montipora capitata,Bleach,6/8/2017,2
204,Montipora capitata,Non-bleach,6/8/2017,1
211,Montipora capitata,Bleach,6/8/2017,2
212,Montipora capitata,Non-bleach,6/8/2017,1
219,Montipora capitata,Bleach,6/8/2017,1
220,Montipora capitata,Non-bleach,6/8/2017,1
221,Montipora capitata,Bleach,6/8/2017,1
222,Montipora capitata,Non-bleach,6/8/2017,1
229,Porites compressa,Bleach,6/8/2017,1
230,Porites compressa,Non-bleach,6/8/2017,1
237,Porites compressa,Bleach,6/8/2017,1
238,Porites compressa,Non-bleach,6/8/2017,1
239,Porites compressa,Bleach,6/8/2017,1
240,Porites compressa,Non-bleach,6/8/2017,3
243,Porites compressa,Bleach,6/8/2017,1
244,Porites compressa,Non-bleach,6/8/2017,1
247,Porites compressa,Bleach,6/8/2017,1
248,Porites compressa,Non-bleach,6/8/2017,1
3,Montipora capitata,Bleach,11/8/2017,2
4,Montipora capitata,Non-bleach,11/8/2017,1
11,Montipora capitata,Bleach,11/8/2017,3
12,Montipora capitata,Non-bleach,11/8/2017,1
19,Montipora capitata,Bleach,11/8/2017,1
20,Montipora capitata,Non-bleach,11/8/2017,1
26,Porites compressa,Non-bleach,11/8/2017,1
27,Porites compressa,Bleach,11/8/2017,1
35,Porites compressa,Bleach,11/8/2017,1
36,Porites compressa,Non-bleach,11/8/2017,1
41,Porites compressa,Bleach,11/8/2017,1
42,Porites compressa,Non-bleach,11/8/2017,1
201,Montipora capitata,Bleach,11/8/2017,3
202,Montipora capitata,Non-bleach,11/8/2017,1
203,Montipora capitata,Bleach,11/8/2017,2
204,Montipora capitata,Non-bleach,11/8/2017,1
209,Montipora capitata,Bleach,11/8/2017,1
210,Montipora capitata,Non-bleach,11/8/2017,1
211,Montipora capitata,Bleach,11/8/2017,2
212,Montipora capitata,Non-bleach,11/8/2017,1
217,Montipora capitata,Bleach,11/8/2017,1
218,Montipora capitata,Non-bleach,11/8/2017,2
219,Montipora capitata,Bleach,11/8/2017,1
220,Montipora capitata,Non-bleach,11/8/2017,1
221,Montipora capitata,Bleach,11/8/2017,1
222,Montipora capitata,Non-bleach,11/8/2017,1
229,Porites compressa,Bleach,11/8/2017,1
230,Porites compressa,Non-bleach,11/8/2017,1
237,Porites compressa,Bleach,11/8/2017,1
238,Porites compressa,Non-bleach,11/8/2017,1
239,Porites compressa,Bleach,11/8/2017,1
240,Porites compressa,Non-bleach,11/8/2017,1
3,Montipora capitata,Bleach,6/20/2019,4
4,Montipora capitata,Non-bleach,6/20/2019,1
19,Montipora capitata,Bleach,6/20/2019,2
20,Montipora capitata,Non-bleach,6/20/2019,1
26,Porites compressa,Non-bleach,6/20/2019,1
27,Porites compressa,Bleach,6/20/2019,1
41,Porites compressa,Bleach,6/20/2019,1
42,Porites compressa,Non-bleach,6/20/2019,1
43,Porites compressa,Bleach,6/20/2019,1
44,Porites compressa,Non-bleach,6/20/2019,1
45,Porites compressa,Bleach,6/20/2019,1
46,Porites compressa,Non-bleach,6/20/2019,1
201,Montipora capitata,Bleach,6/20/2019,3
202,Montipora capitata,Non-bleach,6/20/2019,1
203,Montipora capitata,Bleach,6/20/2019,1
204,Montipora capitata,Non-bleach,6/20/2019,2
211,Montipora capitata,Bleach,6/20/2019,3
212,Montipora capitata,Non-bleach,6/20/2019,1
221,Montipora capitata,Bleach,6/20/2019,3
222,Montipora capitata,Non-bleach,6/20/2019,1
