Colony_ID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
203,2,6,1284,200,23.782295000000005,31.64629499999998,168.505,178.455,23.74929499999999,31.689294999999987,0.8025863214865308
203,2,7,1570,300,34.29887000000002,46.031870000000026,179.505,194.455,34.17487000000003,46.07187000000002,0.8070056177148621
28,3,1,0,300,84.68046511627907,71.84246511627904,301.521,316.472,71.84246511627904,85.16046511627908,-0.9781609657122198
28,3,2,220,319,-2.219492211838002,-1.8134922118379961,223.565,239.472,-2.9064922118379855,-1.5494922118379861,0.08554218893833189
28,3,3,445,200,-0.8309402985074712,4.266059701492537,240.522,250.471,-1.020940298507469,4.32405970149253,0.5341199748300904
28,3,4,707,220,5.653904977375561,18.039904977375556,251.522,262.472,5.54490497737558,18.039904977375556,1.2204570359699305
28,3,5,1013,200,20.18598507462687,34.49898507462689,263.521,273.471,20.06498507462689,34.49898507462689,1.4446531633435904
28,3,6,1284,200,36.51834825870645,52.280348258706454,274.522,284.472,36.362348258706476,52.354348258706466,1.584832272698699
28,3,7,1570,300,54.67648172757475,81.74448172757477,285.522,300.471,54.67648172757475,81.74448172757477,1.8174978974171483
241,4,1,0,300,83.86670333333333,72.36570333333333,410.505,425.455,72.32670333333334,83.95170333333334,-0.8284552856604295
241,4,2,220,302,50.752572815533966,47.09457281553398,332.405,347.455,46.84857281553397,50.752572815533966,-0.21026544217880613
241,4,3,445,200,47.861165,47.885165,348.505,358.455,47.50216499999999,48.08916500000001,0.04064881052566788
241,4,4,707,200,48.78564,52.57064,359.504,369.455,48.78564,52.57064,0.3872363915077382
241,4,5,1013,220,53.98219999999998,59.974199999999996,370.505,381.455,53.7602,60.09619999999998,0.571318154007376
241,4,6,1284,200,61.57357999999999,68.84958,382.505,392.455,61.57357999999999,68.84958,0.7027536174088271
241,4,7,1570,320,70.7635,82.9025,393.505,409.455,70.76050000000001,82.9025,0.8046797419822136
205,1,1,0,311,118.0753782051282,96.63837820512819,81.1,96.6,96.58637820512823,119.04237820512819,-1.655402295855833
205,1,2,220,287,-3.050095070422543,4.460904929577481,2.804,17.1,-3.1980950704225393,4.460904929577481,0.5308644616741246
205,1,3,445,201,4.506010000000003,15.827010000000001,19.1,29.1,4.506010000000003,15.827010000000001,1.1576090734000497
