"","Colony_ID","Pmax","alpha","Rd","Ik","Pgross","Date","Project","Timepoint","Run","Chamber","Species","Phenotype","Chamber_Volume_mL","Notes","...11","...12","...13","X","Without_wax_weight_g","With_wax_weight_g","delta.mass.g","surface.area.cm2"
"16","12",1.81296898113361,0.00427822850708931,-0.719301414440637,423.766280396055,1.09366756669297,2025-10-02,"CAREER - Phys","October_2025",3,4,"Montipora capitata","Resistant",239.043,NA,NA,NA,NA,283,2.7166,3.1647,0.4481,10.5299490649353
"17","2",2.13817364882548,0.00425701617879878,-0.880352510355321,502.270500984757,1.25782113847016,2025-10-02,"CAREER - Phys","October_2025",4,4,"Montipora capitata","Resistant",238.208,"Temp probe was sticking out a little during 10% light, stuck back in all the way at start of 20% light",NA,NA,NA,280,3.3506,4,0.6494,15.2603189528431
"18","242",3.63719973180977,0.00439666250965697,-1.2163839681566,827.263799261579,2.42081576365317,2025-10-02,"CAREER - Phys","October_2025",5,4,"Porites compressa","Resistant",243.826,NA,NA,NA,NA,317,2.1633,2.4746,0.3113,7.31527146599949
"19","213",1.72783210060972,0.00341487197708874,-0.654401858975686,505.972731101543,1.07343024163403,2025-10-02,"CAREER - Phys","October_2025",2,5,"Montipora capitata","Susceptible",244.653,NA,NA,NA,NA,303,2.3337,3.2647,0.931,21.8776669927579
"20","240",4.29240847092258,0.0085397852759737,-1.7108270764189,502.636580687699,2.58158139450368,2025-10-02,"CAREER - Phys","October_2025",3,5,"Porites compressa","Resistant",237.832,NA,NA,NA,NA,315,7.0386,7.6926,0.654,15.3684148370179
"21","248",4.12032978284979,0.00517905127190697,-1.25707799888361,795.576171489155,2.86325178396618,2025-10-02,"CAREER - Phys","October_2025",4,5,"Porites compressa","Resistant",236.664,NA,NA,NA,NA,321,6.7742,7.5682,0.794,18.6582895727709
"22","43",4.01738829577397,0.00489347957943308,-1.33605304204689,820.96762243757,2.68133525372708,2025-10-02,"CAREER - Phys","October_2025",5,5,"Porites compressa","Susceptible",236.996,NA,NA,NA,NA,292,4.1733,4.6989,0.5256,12.3511297222272
"23","244",3.89073043483512,0.00499587859083229,-1.48031412323686,778.788027790512,2.41041631159826,2025-10-02,"CAREER - Phys","October_2025",1,6,"Porites compressa","Resistant",239.991,NA,NA,NA,NA,319,6.6574,7.3389,0.6815,16.0146402315408
"24","234",3.29675741761821,0.00722817866666146,-1.08220757086142,456.097942462857,2.21454984675679,2025-10-02,"CAREER - Phys","October_2025",2,6,"Porites compressa","Resistant",239.652,NA,NA,NA,NA,309,6.4252,7.1639,0.7387,17.3587890521485
"25","211",1.63131306031482,0.00398557249201403,-0.612900603610735,409.304576339665,1.01841245670409,2025-10-02,"CAREER - Phys","October_2025",3,6,"Montipora capitata","Susceptible",243.103,NA,NA,NA,NA,302,1.4755,1.9621,0.4866,11.4346646172674
"26","19",2.31155772169738,0.00494610595769684,-1.05534571558356,467.349009800379,1.25621200611382,2025-10-02,"CAREER - Phys","October_2025",4,6,"Montipora capitata","Susceptible",245.86,NA,NA,NA,NA,284,4.4934,5.1,0.606599999999999,14.2545572479129
"27","206",3.03802857745185,0.00629941978100695,-1.06781802158932,482.271174658284,1.97021055586253,2025-10-02,"CAREER - Phys","October_2025",5,6,"Montipora capitata","Resistant",237.178,NA,NA,NA,NA,299,2.8401,3.3,0.4599,10.8072385069488
"28","20",1.67682907745295,0.00381094830338697,-0.665492123602948,440.003102630038,1.01133695385,2025-10-02,"CAREER - Phys","October_2025",1,7,"Montipora capitata","Resistant",232.251,NA,NA,NA,NA,285,5.6296,6.7423,1.1127,26.1474544176602
"29","202",1.82029269011564,0.0048502764337395,-0.825873597034792,375.296689783146,0.994419093080844,2025-10-02,"CAREER - Phys","October_2025",2,7,"Montipora capitata","Resistant",247.915,NA,NA,NA,NA,295,2.7876,3.2882,0.5006,11.7636520908427
"30","233",3.13380863695668,0.00571842726527461,-1.16446666634068,548.019322723027,1.969341970616,2025-10-02,"CAREER - Phys","October_2025",3,7,"Porites compressa","Susceptible",238.782,NA,NA,NA,NA,308,2.8718,3.2154,0.3436,8.07429256574823
"31","44",3.85802064768817,0.00422347241801453,-1.25352485819044,913.471254419092,2.60449578949773,2025-10-02,"CAREER - Phys","October_2025",4,7,"Porites compressa","Resistant",237.449,NA,NA,NA,NA,293,3.4543,3.8723,0.418,9.82262599674843
"32","226",4.79942461944556,0.00664344157426488,-1.48024914746662,722.430470080056,3.31917547197894,2025-10-02,"CAREER - Phys","October_2025",1,8,"Porites compressa","Resistant",239.897,NA,NA,NA,NA,307,3.5857,4.0994,0.5137,12.0714903696882
"33","210",2.6956779209094,0.00625844266033639,-1.01992774114993,430.726630762885,1.67575017975947,2025-10-02,"CAREER - Phys","October_2025",3,8,"Montipora capitata","Resistant",240.91,NA,NA,NA,NA,301,5.8454,6.7144,0.869000000000001,20.4207224669244
"34","42",4.41093432171275,0.00653111728805005,-1.35919863024822,675.372088292367,3.05173569146453,2025-10-02,"CAREER - Phys","October_2025",4,8,"Porites compressa","Resistant",231.078,NA,NA,NA,NA,291,5.9902,6.7383,0.7481,17.579680641549
"35","239",5.55909308215022,0.00788910365091917,-2.03876623979155,704.654587914118,3.52032684235867,2025-10-02,"CAREER - Phys","October_2025",5,8,"Porites compressa","Susceptible",241.001,NA,NA,NA,NA,314,3.099,3.4298,0.3308,7.77350401847938
"36","4",1.33314886007712,0.00396310160257927,-0.605852806368021,336.390280584651,0.727296053709097,2025-10-02,"CAREER - Phys","October_2025",1,9,"Montipora capitata","Resistant",235.078,NA,NA,NA,NA,282,7.1726,8.3196,1.147,26.9534737279197
"37","41",4.81575289471484,0.00901654572674169,-1.89545355582717,534.101754780887,2.92029933888767,2025-10-02,"CAREER - Phys","October_2025",2,9,"Porites compressa","Susceptible",236.251,NA,NA,NA,NA,290,4.4487,4.8812,0.4325,10.1633630229514
"38","221",2.18659934030322,0.00434550823468011,-0.92492445847771,503.186099810528,1.26167488182551,2025-10-02,"CAREER - Phys","October_2025",4,9,"Montipora capitata","Susceptible",237.387,NA,NA,NA,NA,305,6.3825,7.1347,0.752199999999999,17.6760269730961
