Date,Run ,Well,A630,A663,A750
20240405,Run 3,B7,0.158,0.345,0.068
20240405,Run 3,C7,0.161,0.347,0.07
20240405,Run 3,D7,0.504,1.696,0.066
20240405,Run 3,E7,0.503,1.698,0.065
20240405,Run 3,F7,0.512,1.731,0.065
20240405,Run 3,G7,0.277,0.816,0.065
20240405,Run 3,H7,0.42,1.405,0.065
20240405,Run 3,A8,0.303,0.878,0.076
20240405,Run 3,B8,0.299,0.887,0.071
20240405,Run 3,C8,0.293,0.883,0.066
20240405,Run 3,D8,0.442,1.512,0.065
20240405,Run 3,E8,0.45,1.543,0.066
20240405,Run 3,F8,0.455,1.562,0.066
20240405,Run 3,G8,0.285,0.848,0.064
20240405,Run 3,H8,0.43,1.443,0.066
20240405,Run 3,A9,0.574,2.003,0.074
20240405,Run 3,B9,0.571,2.013,0.071
20240405,Run 3,C9,0.569,2.015,0.067
20240405,Run 3,D9,0.515,1.941,0.064
20240405,Run 3,E9,0.529,1.999,0.062
20240405,Run 3,F9,0.524,1.969,0.064
20240405,Run 3,G9,0.284,0.85,0.064
20240405,Run 3,H9,0.426,1.417,0.067
20240405,Run 3,A10,0.571,2.119,0.073
20240405,Run 3,B10,0.58,2.156,0.072
20240405,Run 3,C10,0.565,2.112,0.067
20240405,Run 3,D10,0.393,1.36,0.065
20240405,Run 3,E10,0.416,1.438,0.068
20240405,Run 3,F10,0.406,1.404,0.066
20240405,Run 3,G10,0.083,0.079,0.068
20240405,Run 3,H10,0.083,0.077,0.067
20240405,Run 3,A11,0.253,0.665,0.076
20240405,Run 3,B11,0.249,0.666,0.073
20240405,Run 3,C11,0.239,0.656,0.065
20240405,Run 3,D11,0.389,1.171,0.066
20240405,Run 3,E11,0.392,1.179,0.066
20240405,Run 3,F11,0.392,1.182,0.067
20240405,Run 3,G11,0.085,0.08,0.067
20240405,Run 3,H11,0.083,0.078,0.067
20240405,Run 3,A12,0.235,0.603,0.079
20240405,Run 3,B12,0.227,0.602,0.072
20240405,Run 3,C12,0.223,0.6,0.068
20240405,Run 3,D12,0.475,1.647,0.066
20240405,Run 3,E12,0.486,1.693,0.065
20240405,Run 3,F12,0.486,1.682,0.069
20240405,Run 3,G12,0.105,0.106,0.085
20240405,Run 3,H12,0.087,0.083,0.069
