Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3)
201_20250108,3D model (42994 faces),Mesh,20.327098371658685,3.352959684092075,5.482987086530644,2.5681591735320475,2.9148279129985966,4.842492546479667,15.229684037803308
202_20250108,3D model (27468 faces),Mesh,10.877385453143443,2.2001817001947033,4.41668724003822,2.42549853450007,1.9911887055381494,1.9985763490809547,6.267047367150373
203_20250108,3D model (32906 faces),Mesh,14.66955651108931,11.394363984867898,9.687451412066311,2.454804321066195,7.232647091000116,2.69701101598995,172.45424192736075
204_20250108,3D model (36198 faces),Mesh,4.471058452447855,0.9805729517312048,-2.8074106208417633,-4.153137834341016,1.3457272134992524,0.4614449754344597,1.7563255769711303
205_20250108,3D model (24862 faces),Mesh,2.612351816141718,0.530122919729396,-2.8191301948860605,-3.8339237693948967,1.0147935745088363,0.22833947073185892,0.8633681744004131
206_20250108,3D model (23948 faces),Mesh,2.85733958962466,0.6891586192390519,-2.8178225225462232,-3.680232550229501,0.8624100276832775,0.2665342597775432,0.889277223478905
209_20250108,3D model (12250 faces),Mesh,1.9666706781961294,2.8116371981718484,-2.695692674226349,-11.1598241223152,8.46413144808885,0.15254586483933041,265.924139960108
210_20250108,3D model (20106 faces),Mesh,2.1465716421437544,0.7009196093393519,-2.8620648599997174,-3.5998342616654035,0.737769401665686,0.15283179315943704,0.6801448847280812
211_20250108,3D model (30708 faces),Mesh,3.0393594532924304,1.083947228850125,-2.7967104758815697,-8.042735803982078,5.246025328100508,0.26497568129470284,10.431854838999104
213_20250108,3D model (35178 faces),Mesh,3.9712000484686865,0.9735904313132734,-2.788571968913281,-3.9832471085039094,1.1946751395906285,0.36284519322453046,1.89961506597117
214_20250108,3D model (24318 faces),Mesh,2.4539207278018877,3.6451124363445535,-2.8305812499953733,-12.435353352363895,9.604772102368523,0.18565535934093264,431.01205532545316
219_20250108,3D model (16166 faces),Mesh,2.406720410348951,0.4961870816358055,-2.7718657448017923,-3.910275406911751,1.1384096621099584,0.21157780265751616,0.7402421610172891
220_20250108_redo,3D model (22354 faces),Mesh,2.2463730422397656,0.32041782788580186,-2.860999433075358,-4.253218648273366,1.3922192151980082,0.17801936360895557,0.5710576477903407
221_20250108,3D model (20676 faces),Mesh,1.90136840794456,0.3732530686225566,-2.7905762686059847,-3.756942153252385,0.9663658846464002,0.14670922267103623,0.45635052246203994
225_20250108,3D model (24064 faces),Mesh,3.806781993675643,0.715035047189344,-2.867837961095576,-4.100459506443883,1.2326215453483071,0.4843434012031431,1.1295760766369785
226_20250108,3D model (37332 faces),Mesh,4.062392644779885,1.086568045302171,-2.7136188812958704,-3.8034951383235427,1.089876257027672,0.5063769845978099,2.101456746394901
233_20250108,3D model (23800 faces),Mesh,2.571067936374824,0.6483602234191038,-2.798057900019346,-3.722175989969606,0.9241180899502599,0.2975874821756546,0.8757168648615812
234_20250108,3D model (21586 faces),Mesh,5.545107801557308,1.2138809914407334,-2.8254314529652365,-4.490568464926552,1.6651370119613151,0.9304743703281596,3.1098759022210145
235_20250108,3D model (39442 faces),Mesh,5.335792455531154,1.1892799893707227,-2.743378111550629,-4.403307134236273,1.659929022685644,0.7522637344713463,3.0671997117952365
236_20250108,3D model (33608 faces),Mesh,4.655785654241035,1.6067769994349532,-2.7735432167323326,-3.6883735824371695,0.9148303657048371,0.6071299518500954,2.1816111573337853
237_20250108,3D model (25048 faces),Mesh,3.339037518381411,0.7084415372119116,-2.776522853289043,-4.200107378416211,1.4235845251271682,0.41020569280465585,1.4591264777499944
238_20250108,3D model (34098 faces),Mesh,4.180827584652143,1.5754941968760054,-2.75383167315181,-5.428223944994754,2.674392271842943,0.5447505796414838,10.525988525349042
239_20250108,3D model (12288 faces),Mesh,3.28323505167517,6.051242918611062,8.22993903075379,-3.8596483656001213,12.089587396353913,0.38854980205127637,493.90575409657447
240_20250108,3D model (21382 faces),Mesh,3.190855294077331,0.6274981544219809,-2.8474692587574566,-4.102691669620201,1.255222410862744,0.3938416073427171,1.0039859636959412
241_20250108,3D model (30656 faces),Mesh,3.791095544379573,2.5868328022963953,-2.8123124224494562,-7.650930889039217,4.838618466589761,0.42734773499162454,55.531085537394695
242_20250108,3D model (34302 faces),Mesh,4.2678127572257,0.9115289867049895,-2.7749382299145626,-4.09623092631781,1.3212926964032479,0.4974695240426864,1.8545915112253064
243_20250108,3D model (32840 faces),Mesh,4.186318623976039,0.9401705427859449,-2.8019408463752185,-4.213423583743242,1.4114827373680237,0.5887007922401669,1.6263071093445296
244_20250108_redo,3D model (17298 faces),Mesh,4.230231261283351,0.7741359517431057,-2.7181285932142836,-4.175522989542915,1.4573943963286318,0.567161699948519,1.5620842904473549
247_20250108,3D model (35880 faces),Mesh,4.358764491958796,0.9576161968726874,-2.775115670261271,-4.421929500596187,1.6468138303349165,0.49532989492176993,2.1824422209599788
248_20250108,3D model (47276 faces),Mesh,5.606461749616174,1.0049328970861005,-2.7558962434378125,-4.380822000319968,1.6249257568821562,0.9121601173191826,2.1552527957718337
S1_20250108,3D model (56584 faces),Mesh,10.71945547949513,1.5271852996276145,-3.0864620342367837,-6.286464511895221,3.200002477658437,1.561593118725351,7.369461379176452
S2_20250108,3D model (38340 faces),Mesh,5.648168746854076,0.8766676120254878,-3.0069585553991196,-4.6244856817570446,1.6175271263579247,0.6299617755333247,1.8795962225303318
S3_20250108,3D model (31284 faces),Mesh,2.6300674391958156,0.5159938746456556,-2.9568688864645836,-3.99829358455292,1.0414246980883362,0.27220298865769804,0.8331827497113968
S4_20250108,3D model (10775 faces),Mesh,1.405695556205013,0.2693697297879976,-3.168187457479216,-4.207631623900133,1.0394441664209164,0.0,0.3809876292358287
S5_20250108,3D model (16056 faces),Mesh,1.6516413894942872,0.44744734119291485,-3.080053403920452,-3.9304111299025335,0.8503577259820816,0.07545066663482917,0.5145048811465766
