Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3)
20241002_240,3D model (36636 faces),Mesh,20.30379454,3.163106763,5.555821391,2.37152771,3.184293681,6.358308339,14.95604422
,,,,,,,,,
20241002_241,3D model (32746 faces),Mesh,16.27613884,3.118683152,4.769685962,2.149375005,2.620310957,4.114076398,11.68650179
,,,,,,,,,
20241002_242,3D model (30946 faces),Mesh,13.52751801,3.054366326,4.133194468,2.136131816,1.997062652,3.439148969,8.385644251
,,,,,,,,,
20241002_243,3D model (51872 faces),Mesh,25.95685695,4.386453117,5.988453816,2.151896981,3.836556835,0,24.97273808
,,,,,,,,,
20241002_244_redo,3D model (55670 faces),Mesh,30.34749347,7.081027306,5.528020662,2.214649717,3.313370945,9.823402645,29.59055703
,,,,,,,,,
20241002_247,3D model (26680 faces),Mesh,13.70596193,2.27870613,4.796726924,2.113980262,2.682746662,3.443818462,9.146207867
,,,,,,,,,
20241002_248,3D model (56452 faces),Mesh,26.9466151,4.592864464,5.643220279,1.924128306,3.719091973,9.349489641,23.61799787
,,,,,,,,,
20241002_S4_redo,3D model (29106 faces),Mesh,10.84809585,3.268188828,4.601493518,1.957338708,2.64415481,2.699912059,10.98623699
,,,,,,,,,
20241002_S5_redo,3D model (20694 faces),Mesh,8.923454247,3.017036428,3.94163395,1.892983714,2.048650236,2.102961825,7.873787348
