Colony_ID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
20,2,5,1101,200,249.523,267.658,158.553,168.503,249.523,267.658,1.8482251717292277,-0.07390098048244818,1.922126152211676
20,2,6,1207,180,269.81,285.606,169.553,178.503,269.81,285.653,1.8139882058170544,-0.11090761461096892,1.9248958204280233
20,2,7,1568,280,287.844,313.106,179.553,193.503,287.615,313.106,1.838386362718862,-0.07979930866676935,1.9181856713856313
3,3,1,0,301,244.507,238.707,302.52,317.52,238.549,246.396,-0.6709686787566943,-0.057045413171852556,-0.6139232655848418
3,3,2,196,241,202.104,206.697,234.52,246.519,201.867,206.697,0.3848086656346719,-0.0578216160515818,0.44263028168625373
3,3,3,418,181,206.998,212.328,247.52,256.52,206.998,212.328,0.6076316510715746,-0.0562845813626557,0.6639162324342303
3,3,4,741,181,212.922,218.843,257.52,266.519,212.898,218.868,0.6713633529121353,-0.071828335092288,0.7431916880044234
3,3,5,1101,181,219.445,225.566,267.52,276.52,219.445,225.566,0.679410231171958,-0.07390098048244818,0.7533112116544062
3,3,6,1207,181,226.197,232.407,277.52,286.52,226.128,232.632,0.7105615231041565,-0.11090761461096892,0.8214691377151254
3,3,7,1568,281,233.203,243.843,287.52,301.52,233.203,243.843,0.7542040709598321,-0.07979930866676935,0.8340033796266014
204,1,1,0,300,211.36,206.984,69.503,84.452,206.811,213.932,-0.6814676311263709,-0.057045413171852556,-0.6244222179545184
204,1,2,196,270,153.043,160.089,0,13.453,152.907,160.089,0.5532561960339397,-0.0578216160515818,0.6110778120855215
204,1,3,418,180,160.658,166.827,14.502,23.452,160.658,166.827,0.7204087413960415,-0.0562845813626557,0.7766933227586972
204,1,4,741,180,167.582,175.138,24.502,33.452,167.557,175.138,0.9023192293593765,-0.071828335092288,0.9741475644516645
204,1,5,1101,180,176.038,184.661,34.503,43.452,176.038,184.661,0.9718488610427914,-0.07390098048244818,1.0457498415252395
204,1,6,1207,180,185.726,195.087,44.502,53.452,185.726,195.087,1.0297077154359644,-0.11090761461096892,1.1406153300469333
204,1,7,1568,280,196.025,210.03,54.503,68.452,196.025,210.03,0.996681325012666,-0.07979930866676935,1.0764806336794355
238,2,1,0,300,226.471,226.13,194.502,209.453,226.13,234.074,-0.8493698960487436,-0.057045413171852556,-0.7923244828768911
238,2,2,196,280,149.028,154.276,123.502,137.452,148.943,154.276,0.40193900315214925,-0.0578216160515818,0.45976061920373107
238,2,3,418,180,154.79,160.87,138.502,147.452,154.725,160.965,0.777987874464089,-0.0562845813626557,0.8342724558267447
238,2,4,741,180,161.833,170.871,148.503,157.453,161.784,170.871,1.0983341146655297,-0.071828335092288,1.1701624497578176
238,2,5,1101,200,172.011,184.441,158.502,168.453,172.011,184.441,1.221420748805506,-0.07390098048244818,1.2953217292879542
238,2,6,1207,180,185.888,198.245,169.502,178.452,185.844,198.245,1.330573944174845,-0.11090761461096892,1.4414815587858139
238,2,7,1568,280,200.001,224.415,179.502,193.452,199.96,224.415,1.820911506947739,-0.07979930866676935,1.9007108156145085
44,3,1,0,300,264.021,257.326,302.519,317.469,257.285,268.828,-0.9582175046794897,-0.057045413171852556,-0.9011720915076372
44,3,2,196,240,151.75,157.798,234.519,246.469,151.47,157.798,0.557670716380397,-0.0578216160515818,0.6154923324319788
44,3,3,418,180,158.407,167.936,247.519,256.469,158.407,167.943,1.1526949705717757,-0.0562845813626557,1.2089795519344315
44,3,4,741,180,169.115,183.597,257.519,266.469,169.115,183.597,1.7261525500107902,-0.071828335092288,1.797980885103078
44,3,5,1101,180,185.336,203.123,267.519,276.469,185.336,203.179,1.978737655646204,-0.07390098048244818,2.052638636128652
44,3,6,1207,180,205.376,225.432,277.519,286.469,205.338,225.432,2.241638661110371,-0.11090761461096892,2.35254627572134
44,3,7,1568,280,227.63,261.113,287.519,301.469,227.63,261.35,2.410059473791071,-0.07979930866676935,2.4898587824578406
237,1,1,0,301,319.908,308.919,69.451,84.452,308.919,324.657,-1.3760756452279945,-0.057045413171852556,-1.319030232056142
237,1,2,196,270,202.692,212.936,0,13.451,202.651,212.943,0.7913588010396725,-0.0578216160515818,0.8491804170912542
237,1,3,418,181,213.802,224.543,14.451,23.451,213.741,224.607,1.3211631626156888,-0.0562845813626557,1.3774477439783446
237,1,4,741,181,225.955,241.516,24.451,33.452,225.955,241.516,1.827150994014214,-0.071828335092288,1.898979329106502
237,1,5,1101,181,243.515,261.747,34.451,43.451,243.471,261.747,2.0670300512026736,-0.07390098048244818,2.1409310316851218
237,1,6,1207,181,263.796,283.288,44.451,53.451,263.796,283.412,2.2569808815249783,-0.11090761461096892,2.367888496135947
237,1,7,1568,281,285.556,317.413,54.451,68.452,285.556,317.413,2.3024896796539536,-0.07979930866676935,2.382288988320723
2,2,1,0,300,309.076,306.338,194.468,209.418,306.235,315.228,-0.9825739971820179,-0.057045413171852556,-0.9255285840101654
2,2,2,196,280,209.007,222.281,123.468,137.418,208.843,222.281,0.9878030621362432,-0.0578216160515818,1.0456246781878251
2,2,3,418,180,223.285,235.067,138.468,147.418,223.285,235.067,1.4074450684450885,-0.0562845813626557,1.4637296498077443
2,2,4,741,180,236.392,249.817,148.468,157.418,236.392,249.817,1.5126287986143858,-0.071828335092288,1.5844571337066737
2,2,5,1101,200,251.491,266.642,158.468,168.418,251.344,266.834,1.5380152954094497,-0.07390098048244818,1.611916275891898
2,2,6,1207,180,268.664,282.058,169.468,178.418,268.351,282.113,1.47274501507379,-0.11090761461096892,1.5836526296847588
2,2,7,1568,280,283.962,306.815,179.468,193.418,283.962,307.119,1.6490429521074441,-0.07979930866676935,1.7288422607742135
28,3,1,0,300,286.825,278.141,302.468,317.418,278.141,290.315,-1.0396440383736862,-0.057045413171852556,-0.9825986252018337
28,3,2,196,240,200.5,204.884,234.468,246.418,200.5,204.998,0.37919874590713454,-0.0578216160515818,0.43702036195871635
28,3,3,418,180,205.506,212.875,247.468,256.418,205.313,212.875,0.9092385716749922,-0.0562845813626557,0.9655231530376479
28,3,4,741,180,213.871,225.616,257.468,266.418,213.871,225.616,1.3985907596720089,-0.071828335092288,1.4704190947642968
28,3,5,1101,180,227.153,241.206,267.468,276.418,227.153,241.206,1.580697546984041,-0.07390098048244818,1.6545985274664892
28,3,6,1207,180,242.674,258.014,277.468,286.418,242.674,258.014,1.7261952624463963,-0.11090761461096892,1.8371028770573652
28,3,7,1568,280,259.697,284.6,287.468,301.418,259.697,284.735,1.8133117206880345,-0.07979930866676935,1.893111029354804
1,1,1,0,300,306.28,296.794,69.451,84.401,296.794,310.97,-1.3532657894641222,-0.057045413171852556,-1.2962203762922697
1,1,2,196,269,207.433,221.977,0,13.401,207.433,221.977,1.0941277308499258,-0.0578216160515818,1.1519493469015076
1,1,3,418,180,223.012,234.603,14.451,23.401,223.012,234.672,1.4185737626664414,-0.0562845813626557,1.4748583440290972
1,1,4,741,180,236.035,249.504,24.451,33.401,236.035,249.504,1.5134968051452926,-0.071828335092288,1.5853251402375805
1,1,5,1101,180,251.108,265.011,34.451,43.401,251.108,265.011,1.5416789319649706,-0.07390098048244818,1.6155799124474188
1,1,6,1207,180,266.266,280.613,44.451,53.401,266.266,280.783,1.6051724207997593,-0.11090761461096892,1.7160800354107282
1,1,7,1568,280,282.431,304.801,54.451,68.401,282.431,304.801,1.6044040646472086,-0.07979930866676935,1.684203373313978
226,2,1,0,301,393.878,369.608,194.417,209.418,369.511,398.091,-2.3614223925795628,-0.057045413171852556,-2.30437697940771
226,2,2,196,281,212.816,233.697,123.417,137.417,212.816,233.797,1.5634052241894945,-0.0578216160515818,1.6212268402410763
226,2,3,418,181,235.352,254.991,138.418,147.417,235.284,254.991,2.3596741244381905,-0.0562845813626557,2.415958705800846
226,2,4,741,181,257.254,281.486,148.418,157.418,257.254,281.486,2.856893695061418,-0.071828335092288,2.9287220301537062
226,2,5,1101,201,284.238,314.889,158.417,168.417,284.238,314.889,2.864863735211208,-0.07390098048244818,2.9387647156936563
226,2,6,1207,181,317.432,344.679,169.418,178.417,317.432,344.679,3.3374813774861947,-0.11090761461096892,3.4483889920971635
226,2,7,1568,281,348.156,391.132,179.418,193.418,347.994,391.132,3.1642686874558255,-0.07979930866676935,3.244067996122595
201,3,1,0,301,299.692,294.307,302.418,317.417,294.166,304.141,-0.9852351301103114,-0.057045413171852556,-0.9281897169384589
201,3,2,196,241,207.608,216.158,234.418,246.417,207.608,216.203,0.8160261284515555,-0.0578216160515818,0.8738477445031373
201,3,3,418,181,217.017,227.407,247.418,256.418,217.017,227.515,1.221975591758679,-0.0562845813626557,1.2782601731213348
201,3,4,741,181,228.743,241.753,257.418,266.418,228.656,241.753,1.525325813747078,-0.071828335092288,1.597154148839366
201,3,5,1101,181,243.453,257.67,267.417,276.417,243.424,257.67,1.5889341371825494,-0.07390098048244818,1.6628351176649976
201,3,6,1207,181,259.438,273.751,277.418,286.418,259.305,274.038,1.614286157018949,-0.11090761461096892,1.725193771629918
201,3,7,1568,281,275.665,298.079,287.417,301.418,275.579,298.079,1.5998545098911847,-0.07979930866676935,1.6796538185579541
225,1,1,0,300,382.983,375.874,69.401,84.35,375.874,394.013,-2.0219123355226136,-0.057045413171852556,-1.964866922350761
225,1,2,196,268,207.412,227.273,0,13.351,207.307,227.273,1.5704186715778992,-0.0578216160515818,1.628240287629481
225,1,3,418,180,228.652,245.247,14.401,23.35,228.652,245.247,2.023018551559317,-0.0562845813626557,2.0793031329219724
225,1,4,741,180,247.507,269.625,24.4,33.35,247.507,269.625,2.7043877600838675,-0.071828335092288,2.7762160951761556
225,1,5,1101,180,272.587,298.96,34.401,43.35,272.587,298.96,3.03925682267091,-0.07390098048244818,3.113157803153358
225,1,6,1207,180,302.222,330.992,44.401,53.35,302.222,330.992,3.282008976860201,-0.11090761461096892,3.39291659147117
225,1,7,1568,280,334.529,379.579,54.401,68.35,334.365,379.579,3.2646063183138954,-0.07979930866676935,3.344405626980665
206,2,1,0,300,257.829,256.335,194.417,209.367,256.335,261.897,-0.6553803974503019,-0.057045413171852556,-0.5983349842784493
206,2,2,196,280,201.796,208.214,123.417,137.367,201.71,208.389,0.48395108070219633,-0.0578216160515818,0.5417726967537781
206,2,3,418,180,208.918,214.898,138.417,147.367,208.87,214.905,0.757286249331184,-0.0562845813626557,0.8135708306938397
206,2,4,741,180,215.663,223.712,148.417,157.367,215.663,223.712,0.9247301772842583,-0.071828335092288,0.9965585123765464
206,2,5,1101,200,224.665,234.379,158.417,168.367,224.665,234.379,0.9709089696645306,-0.07390098048244818,1.0448099501469787
206,2,6,1207,180,235.198,243.523,169.417,178.367,235.198,243.523,0.903843693537849,-0.11090761461096892,1.014751308148818
206,2,7,1568,280,244.555,257.068,179.417,193.367,244.516,257.068,0.9024973283762078,-0.07979930866676935,0.9822966370429771
233,3,1,0,300,310.847,303.831,302.417,317.367,303.831,317.363,-1.3705100090748932,-0.057045413171852556,-1.3134645959030407
233,3,2,196,240,201.563,207.977,234.417,246.367,201.563,208.028,0.5633008986519391,-0.0578216160515818,0.6211225147035209
233,3,3,418,180,208.595,217.395,247.417,256.367,208.565,217.418,1.1020781188353281,-0.0562845813626557,1.158362700197984
233,3,4,741,180,218.745,231.918,257.417,266.367,218.723,231.918,1.586390133628423,-0.071828335092288,1.6582184687207109
233,3,5,1101,180,233.631,250.146,267.417,276.367,233.631,250.146,1.812604566794694,-0.07390098048244818,1.8865055472771421
233,3,6,1207,180,252.353,271.7,277.417,286.367,252.225,271.7,2.224879919499095,-0.11090761461096892,2.335787534110064
233,3,7,1568,280,274.185,308.463,287.417,301.367,274.103,308.463,2.430867030039898,-0.07979930866676935,2.5106663387066672
212,1,1,0,301,208.572,204.691,69.346,84.345,204.527,210.899,-0.6053174087540651,-0.057045413171852556,-0.5482719955822126
212,1,2,196,268,167.908,173.303,0,13.346,167.818,173.303,0.41464580702202747,-0.0578216160515818,0.4724674230736093
212,1,3,418,181,173.676,178.232,14.345,23.345,173.613,178.232,0.5049956646102574,-0.0562845813626557,0.561280245972913
212,1,4,741,181,178.798,184.11,24.346,33.346,178.69,184.165,0.6297155685456732,-0.071828335092288,0.7015439036379613
212,1,5,1101,181,184.828,190.731,34.346,43.346,184.828,190.808,0.6488320210704852,-0.07390098048244818,0.7227330015529334
212,1,6,1207,181,191.444,197.578,44.345,53.345,191.444,197.599,0.7005321822904236,-0.11090761461096892,0.8114397969013925
212,1,7,1568,281,198.336,208.08,54.346,68.346,198.336,208.11,0.6876826710257872,-0.07979930866676935,0.7674819796925565
42,2,1,0,300,262.893,259.779,194.362,209.312,259.779,270.121,-1.0299906144984359,-0.057045413171852556,-0.9729452013265834
42,2,2,196,280,164.864,177.138,123.362,137.312,164.864,177.138,0.6144418415273977,-0.0578216160515818,0.6722634575789794
42,2,3,418,180,177.628,186.259,138.362,147.312,177.628,186.259,1.0306319083105226,-0.0562845813626557,1.0869164896731784
42,2,4,741,180,187.186,199.131,148.363,157.313,187.186,199.154,1.388174116436365,-0.071828335092288,1.460002451528653
42,2,5,1101,200,200.563,216.799,158.362,168.312,200.563,216.799,1.6398928990664943,-0.07390098048244818,1.7137938795489425
42,2,6,1207,180,218.505,233.137,169.362,178.312,218.505,233.244,1.7442311601617189,-0.11090761461096892,1.8551387747726877
42,2,7,1568,280,235.548,261.187,179.362,193.312,235.142,261.365,1.8386552103424825,-0.07979930866676935,1.918454519009252
209,3,1,0,300,246.971,239.289,302.363,317.312,239.289,250.016,-1.0620131556145536,-0.057045413171852556,-1.004967742442701
209,3,2,196,240,173.76,177.601,234.362,246.312,173.76,182.336,0.31038143684551567,-0.0578216160515818,0.3682030528970975
209,3,3,418,180,178.117,187.023,247.362,256.312,178.05,187.023,1.052426759166189,-0.0562845813626557,1.108711340528845
209,3,4,741,180,188.069,199.562,257.363,266.313,187.856,199.562,1.3188732187228278,-0.071828335092288,1.3907015538151157
209,3,5,1101,180,200.917,213.051,267.362,276.312,200.885,213.051,1.3671748725110056,-0.07390098048244818,1.4410758529934538
209,3,6,1207,180,214.433,226.845,277.362,286.313,214.433,226.845,1.3406847563282567,-0.11090761461096892,1.4515923709392256
209,3,7,1568,280,227.971,245.827,287.362,301.313,227.89,245.827,1.2991975584975952,-0.07979930866676935,1.3789968671643646
41,1,1,0,301,315.937,304.849,69.308,84.308,304.849,321.73,-1.528535585071728,-0.057045413171852556,-1.4714901718998754
41,1,2,196,267,206.191,217.897,0,13.308,206.191,217.982,0.8896583460328723,-0.0578216160515818,0.9474799620844541
41,1,3,418,181,218.939,229.492,14.308,23.307,218.816,229.495,1.2656566466028483,-0.0562845813626557,1.321941227965504
41,1,4,741,181,230.948,244.71,24.308,33.307,230.948,244.751,1.5061631552468224,-0.071828335092288,1.5779914903391103
41,1,5,1101,181,246.551,262.795,34.308,43.307,246.551,262.795,1.7995066051799262,-0.07390098048244818,1.8734075856623744
41,1,6,1207,181,264.306,282.431,44.308,53.307,264.306,282.431,1.984431024626559,-0.11090761461096892,2.095338639237528
41,1,7,1568,281,284.144,314.053,54.308,68.308,284.144,314.262,2.1124515652287346,-0.07979930866676935,2.192250873895504
214,2,1,0,300,223.898,222.643,194.325,209.275,222.426,228.575,-0.8340725061270878,-0.057045413171852556,-0.7770270929552353
214,2,2,196,280,196.232,204.83,123.324,137.274,196.232,204.877,0.2963899870840552,-0.0578216160515818,0.354211603135637
214,2,3,418,180,205.151,208.277,138.324,147.274,205.113,208.429,0.38684648562391993,-0.0562845813626557,0.4431310669865756
214,2,4,741,180,208.747,212.253,148.325,157.275,208.689,212.433,0.4018647173806083,-0.071828335092288,0.4736930524728963
214,2,5,1101,200,212.987,214.374,158.324,168.275,212.798,216.436,0.4357471133800833,-0.07390098048244818,0.5096480938625315
214,2,6,1207,180,212.996,218.293,169.324,178.274,211.281,219.663,-0.826436292453076,-0.11090761461096892,-0.7155286778421072
214,2,7,1568,280,216.969,222.34,179.324,193.274,211.375,222.402,-1.095674743620786,-0.07979930866676935,-1.0158754349540167
239,3,1,0,301,298.128,284.386,302.308,317.307,284.386,301.977,-1.5187154976814954,-0.057045413171852556,-1.4616700845096429
239,3,2,196,241,201.323,205.946,234.308,246.307,201.323,205.946,0.37313336316493695,-0.0578216160515818,0.43095497921651876
239,3,3,418,181,206.232,213.923,247.308,256.308,206.07,213.935,0.9264941075432797,-0.0562845813626557,0.9827786889059353
239,3,4,741,181,214.977,227.635,257.308,266.308,214.9,227.644,1.5369965074334746,-0.071828335092288,1.6088248425257625
239,3,5,1101,181,229.135,244.982,267.308,276.307,229.135,245.239,1.8179716885897528,-0.07390098048244818,1.891872669072201
239,3,6,1207,181,247.049,264.763,277.308,286.308,246.795,264.768,2.007403502087214,-0.11090761461096892,2.118311116698183
239,3,7,1568,281,266.769,296.322,287.308,301.308,266.769,296.322,2.060723159369769,-0.07979930866676935,2.1405224680365382
19,1,1,0,300,260.998,253.435,69.304,84.254,253.21,262.474,-0.7416895679430882,-0.057045413171852556,-0.6846441547712356
19,1,2,196,266,207.967,216.049,0,13.254,207.877,216.049,0.6364808007207003,-0.0578216160515818,0.6943024167722821
19,1,3,418,180,216.63,223.678,14.304,23.254,216.63,223.744,0.7883206100270836,-0.0562845813626557,0.8446051913897393
19,1,4,741,180,224.604,231.795,24.304,33.254,224.541,231.872,0.817190992192999,-0.071828335092288,0.889019327285287
19,1,5,1101,180,232.647,240.029,34.304,43.254,232.647,240.084,0.8102400878114547,-0.07390098048244818,0.8841410682939029
19,1,6,1207,180,240.782,248.57,44.304,53.254,240.782,248.57,0.8143421869771525,-0.11090761461096892,0.9252498015881214
19,1,7,1568,280,249.415,259.847,54.304,68.254,249.146,260.333,0.6803508974552481,-0.07979930866676935,0.7601502061220174
27,2,1,0,301,366.48,351.659,194.27,209.271,351.659,379.302,-2.6179870855386094,-0.057045413171852556,-2.5609416723667566
27,2,2,196,281,208.043,223.928,123.27,137.27,208.043,223.928,1.1452788232671074,-0.0578216160515818,1.2031004393186893
27,2,3,418,181,225.045,240.925,138.271,147.27,225.045,240.925,1.8885523990003295,-0.0562845813626557,1.9448369803629852
27,2,4,741,181,242.615,264.98,148.271,157.271,242.615,264.98,2.6443528983294105,-0.071828335092288,2.7161812334216986
27,2,5,1101,201,267.938,297.644,158.27,168.271,267.938,297.644,3.1253579229530657,-0.07390098048244818,3.199258903435514
27,2,6,1207,181,300.876,322.905,169.27,178.27,300.876,324.256,3.451530437942774,-0.11090761461096892,3.562438052553743
27,2,7,1568,281,325.507,365.566,179.271,193.271,325.507,365.566,3.5566737819066856,-0.07979930866676935,3.636473090573455
219,3,1,0,300,270.12,261.503,302.304,317.254,261.503,272.263,-0.9249929404398054,-0.057045413171852556,-0.8679475272679529
219,3,2,196,240,206.259,212.368,234.304,246.254,206.259,212.368,0.4916675027205466,-0.0578216160515818,0.5494891187721284
219,3,3,418,180,212.871,220.331,247.304,256.254,212.784,220.331,0.8636598081503684,-0.0562845813626557,0.919944389513024
219,3,4,741,180,221.139,230.46,257.304,266.254,221.032,230.56,1.095331685804768,-0.071828335092288,1.1671600208970558
219,3,5,1101,180,231.652,241.707,267.304,276.254,231.652,241.831,1.1321808605949346,-0.07390098048244818,1.2060818410773828
219,3,6,1207,180,243.01,253.021,277.304,286.254,242.993,253.021,1.1332960972166821,-0.11090761461096892,1.244203711827651
219,3,7,1568,280,254.227,269.263,287.304,301.254,254.025,269.263,1.0967287651298747,-0.07979930866676935,1.1765280737966441
243,1,1,0,300,308.963,300.904,69.253,84.202,300.748,314.134,-1.2648957823789913,-0.057045413171852556,-1.2078503692071387
243,1,2,196,265,204.429,212.769,0,13.202,204.29,212.769,0.667219095544458,-0.0578216160515818,0.7250407115960398
243,1,3,418,180,213.386,222.634,14.252,23.202,213.386,222.704,1.168397758185449,-0.0562845813626557,1.2246823395481048
243,1,4,741,180,224.076,238.014,24.252,33.202,223.906,238.014,1.6435370282807227,-0.071828335092288,1.7153653633730106
243,1,5,1101,180,240.018,255.439,34.252,43.202,239.897,255.439,1.8257780611650176,-0.07390098048244818,1.8996790416474658
243,1,6,1207,180,257.561,274.712,44.252,53.202,257.561,274.712,1.9534522540954167,-0.11090761461096892,2.0643598687063855
243,1,7,1568,280,276.983,306.601,54.252,68.202,276.842,306.743,2.162617453608998,-0.07979930866676935,2.2424167622757674
blank,2,1,0,300,207.679,206.771,194.268,209.218,206.63,207.734,-0.058215939396272044,-0.057045413171852556,-0.001170526224419488
blank,2,2,196,280,213.562,212.477,123.269,137.218,212.307,213.562,-0.07302481961593,-0.0578216160515818,-0.015203203564348206
blank,2,3,418,180,212.419,211.763,138.269,147.219,211.639,212.419,-0.06292900454985692,-0.0562845813626557,-0.006644423187201223
blank,2,4,741,180,211.496,210.9,148.269,157.219,210.799,211.743,-0.07166619281376692,-0.071828335092288,1.621422785210852e-4
blank,2,5,1101,200,210.894,210.225,158.269,168.218,209.988,210.993,-0.08727185808799168,-0.07390098048244818,-0.013370877605543494
blank,2,6,1207,180,209.965,209.175,169.269,178.218,208.973,210.232,-0.14376000591594257,-0.11090761461096892,-0.03285239130497365
blank,2,7,1568,280,208.984,207.658,179.269,193.219,207.654,209.052,-0.0904303734504888,-0.07979930866676935,-0.010631064783719446
247,3,1,0,300,351.897,342.622,302.269,317.219,342.622,358.798,-1.4911814458797537,-0.057045413171852556,-1.4341360327079011
247,3,2,196,240,212.525,218.249,234.269,246.219,212.391,218.382,0.48300654438180307,-0.0578216160515818,0.5408281604333849
247,3,3,418,180,218.827,229.536,247.269,256.219,218.827,229.536,1.3687454545439746,-0.0562845813626557,1.4250300359066304
247,3,4,741,180,230.972,248.717,257.269,266.219,230.972,248.717,2.114806143706464,-0.071828335092288,2.186634478798752
247,3,5,1101,180,250.999,273.584,267.269,276.219,250.999,273.584,2.5989221996485714,-0.07390098048244818,2.6728231801310196
247,3,6,1207,180,276.332,301.824,277.269,286.219,276.332,301.824,2.959656927353953,-0.11090761461096892,3.070564541964922
247,3,7,1568,280,305.025,348.539,287.268,301.218,304.872,348.539,3.143899762398705,-0.07979930866676935,3.2236990710654743
29,4,1,0,360,294.464,279.494,75.197,93.147,279.417,299.97,-1.480389153955483,-0.057045413171852556,-1.4233437407836305
29,4,2,196,280,186.364,192.224,5.197,19.147,186.357,192.224,0.42951522332966324,-0.0578216160515818,0.48733683938124506
29,4,3,418,180,192.519,200.765,20.197,29.147,192.519,200.765,0.9841661802471843,-0.0562845813626557,1.04045076160984
29,4,4,741,135,201.922,214.503,30.197,38.947,201.88,214.503,1.47758904094172,-0.071828335092288,1.549417376034008
29,4,5,1101,180,216.428,232.963,40.197,49.147,216.428,232.963,1.9208534882544432,-0.07390098048244818,1.9947544687368914
29,4,6,1207,180,234.948,254.255,50.197,59.147,234.948,254.286,2.2497426906557383,-0.11090761461096892,2.360650305266707
29,4,7,1568,280,256.582,291.706,60.197,74.147,256.582,291.706,2.5508645482567744,-0.07979930866676935,2.630663856923544
12,5,1,0,300,279.032,274.01,198.213,213.164,273.949,283.331,-0.9635438016081657,-0.057045413171852556,-0.9064983884363131
12,5,2,196,280,188.348,199.524,128.213,142.164,188.213,199.566,0.8547651416028256,-0.0578216160515818,0.9125867576544073
12,5,3,418,180,200.541,210.635,143.214,152.163,200.369,210.661,1.1637036525508015,-0.0562845813626557,1.2199882339134573
12,5,4,741,180,211.859,222.425,153.214,162.163,211.834,222.425,1.1753228860196347,-0.071828335092288,1.2471512211119227
12,5,5,1101,180,223.729,237.083,163.214,172.164,223.729,237.083,1.5414084821657728,-0.07390098048244818,1.615309462648221
