"","Date.x","Project.x","Colony_ID","Light","Time_start","Time_end","Chamber","Zub","Run","Sample_Volume_mL","Starting_alk_value","Alk_avg","Temperature_C","Notes.x","start","end","elapsed_mins","elapsed_hours","Delta_TA_raw","Delta_TA_corr","Net_Calcification","Date.y","Project.y","Species","Phenotype","Surface_Area_cm2","Notes.y","Net_Calcification_cm2"
"29","2023-09-17","TCB ","237","Light","10:11","11:22",1,34,9,238,2172.05,2112.2,27.54,NA,10H 11M 0S,11H 22M 0S,71,1.18333333333333,59.8500000000004,65.1500000000004,6.73515194366201,2023-09-17,"TCB","Porites compressa","Susceptible",18.02522674,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.373651440884011
"30","2023-09-17","TCB ","203","Light","10:11","11:22",2,35,9,236,2172.05,2131.45,27.54,NA,10H 11M 0S,11H 22M 0S,71,1.18333333333333,40.6000000000004,45.9000000000004,4.70522839436623,2023-09-17,"TCB","Montipora capitata","Susceptible",27.14426152,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.173341551064095
"31","2023-09-17","TCB ","241","Light","10:12","11:22",3,36,9,236,2172.05,2061.7,27.54,NA,10H 12M 0S,11H 22M 0S,70,1.16666666666667,110.35,115.65,12.0246922285715,2023-09-17,"TCB","Porites compressa","Susceptible",26.56099352,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.45271997146933
"32","2023-09-17","TCB ","236","Light","10:12","11:22",4,37,9,236,2172.05,2039.8,27.54,NA,10H 12M 0S,11H 22M 0S,70,1.16666666666667,132.25,137.55,14.3017416,2023-09-17,"TCB","Porites compressa","Resistant",25.03735805,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.571216083240061
"33","2023-09-17","TCB ","242","Light","10:13","11:22",5,38,9,237,2172.05,2016.85,27.54,NA,10H 13M 0S,11H 22M 0S,69,1.15,155.2,160.5,17.0015556521739,2023-09-17,"TCB","Porites compressa","Resistant",20.69565458,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.821503643987372
"34","2023-09-17","TCB ","235","Light","10:13","11:23",6,39,9,237,2172.05,2046.25,27.54,NA,10H 13M 0S,11H 23M 0S,70,1.16666666666667,125.8,131.1,13.6888626857143,2023-09-17,"TCB","Porites compressa","Susceptible",22.1589835,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.617756797630826
"35","2023-09-17","TCB ","211","Light","10:14","11:23",7,40,9,236,2172.05,2057.25,27.54,NA,10H 14M 0S,11H 23M 0S,69,1.15,114.8,120.1,12.6683568695652,2023-09-17,"TCB","Montipora capitata","Susceptible",27.63191855,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.458468232911219
"36","2023-09-17","TCB ","212","Light","10:14","11:23",8,41,9,239,2172.05,2165.3,27.54,NA,10H 14M 0S,11H 23M 0S,69,1.15,6.75,12.05,1.28721243478261,2023-09-17,"TCB","Montipora capitata","Resistant",19.69824764,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.0653465454545686
"37","2023-09-17","TCB ","238","Light","10:14","11:23",9,42,9,239,2172.05,2130.1,27.54,NA,10H 14M 0S,11H 23M 0S,69,1.15,41.9500000000003,47.2500000000003,5.04736826086959,2023-09-17,"TCB","Porites compressa","Resistant",18.75799107,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.269078295326728
"38","2023-09-17","TCB ","204","Light","10:15","11:23",10,43,9,238,2172.05,2133.5,27.54,NA,10H 15M 0S,11H 23M 0S,68,1.13333333333333,38.5500000000002,43.8500000000002,4.73316900000002,2023-09-17,"TCB","Montipora capitata","Resistant",17.9887424,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.263118393423657
"39","2023-09-17","TCB ","240","Light","12:27","13:41",1,1,10,239,2178.5,2136.05,27.61,NA,12H 27M 0S,13H 41M 0S,74,1.23333333333333,42.4499999999998,47.7499999999998,4.75613229729728,2023-09-17,"TCB","Porites compressa","Resistant",19.14610369,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.248412542536339
"40","2023-09-17","TCB ","26","Light","12:27","13:41",2,2,10,239,2178.5,2147.15,27.61,NA,12H 27M 0S,13H 41M 0S,74,1.23333333333333,31.3499999999999,36.6499999999999,3.65051829729729,2023-09-17,"TCB","Porites compressa","Resistant",17.8285627,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.204756735510557
"41","2023-09-17","TCB ","210","Light","12:27","13:41",3,3,10,237,2178.5,2127.9,27.61,NA,12H 27M 0S,13H 41M 0S,74,1.23333333333333,50.5999999999999,55.8999999999999,5.52131854054053,2023-09-17,"TCB","Montipora capitata","Resistant",29.55521911,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.186813656159713
"42","2023-09-17","TCB ","27","Light","12:28","13:41",4,4,10,234,2178.5,1999.9,27.61,NA,12H 28M 0S,13H 41M 0S,73,1.21666666666667,178.6,183.9,18.1797997808219,2023-09-17,"TCB","Porites compressa","Susceptible",29.00149537,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.626857324040871
"43","2023-09-17","TCB ","248","Light","12:28","13:42",5,5,10,236,2178.5,2035,27.61,NA,12H 28M 0S,13H 42M 0S,74,1.23333333333333,143.5,148.8,14.6351636756757,2023-09-17,"TCB","Porites compressa","Resistant",21.4366682,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.682716340950581
"44","2023-09-17","TCB ","209","Light","12:31","13:42",6,6,10,237,2178.5,2119.85,27.61,NA,12H 31M 0S,13H 42M 0S,71,1.18333333333333,58.6500000000001,63.9500000000001,6.58331923943663,2023-09-17,"TCB","Montipora capitata","Susceptible",21.31851996,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.30880751814802
"45","2023-09-17","TCB ","247","Light","12:29","13:42",7,7,10,235,2178.5,2073.35,27.61,NA,12H 29M 0S,13H 42M 0S,73,1.21666666666667,105.15,110.45,10.9654154794521,2023-09-17,"TCB","Porites compressa","Susceptible",28.66779108,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.38249949041599
"46","2023-09-17","TCB ","233","Light","12:29","13:42",8,8,10,237,2178.5,2042.4,27.61,NA,12H 29M 0S,13H 42M 0S,73,1.21666666666667,136.1,141.4,14.1575878356164,2023-09-17,"TCB","Porites compressa","Susceptible",24.71021272,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.572944798008863
