sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth,origin,timepoint,Phenotype,,,,
DL08,DL08_S114_L001_R1_001.fastq.gz,DL08_S114_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,2.6,DL,Sept_2022,,,,,
DL09,DL09_S115_L001_R1_001.fastq.gz,DL09_S115_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,2.6,DL,Sept_2022,,,,,
DL10,DL10_S108_L001_R1_001.fastq.gz,DL10_S108_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,2.6,DL,Sept_2022,,,,,
DL100,DL100_S231_L001_R1_001.fastq.gz,DL100_S231_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,2.6,DL,Sept_2024,,,,,
DL101,DL101_S193_L001_R1_001.fastq.gz,DL101_S193_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,2.6,DL,Sept_2024,,,,,
DL102,DL102_S273_L001_R1_001.fastq.gz,DL102_S273_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,2.6,DL,Sept_2024,,,,,
DL103,DL103_S266_L001_R1_001.fastq.gz,DL103_S266_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,2.6,DL,Sept_2024,,,,,
DL104,DL104_S259_L001_R1_001.fastq.gz,DL104_S259_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,2.6,DL,Sept_2024,,,,,
DL105,DL105_S252_L001_R1_001.fastq.gz,DL105_S252_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,2.6,DL,Sept_2024,,,,,
DL106,DL106_S253_L001_R1_001.fastq.gz,DL106_S253_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,2.6,DL,Sept_2024,,,,,
