"","Colony_ID","Pmax","alpha","Rd","Ik","Pgross","Date","Project","Timepoint","Run","Chamber","Species","Phenotype","Chamber_Volume_mL","Notes","...11","...12","...13","X","Without_wax_weight_g","With_wax_weight_g","delta.mass.g","surface.area.cm2"
"11","209",1.62756274716986,0.00434195053740798,-0.370139372279861,374.845989871978,1.25742337489,2023-09-15,"CAREER - Phys","September_2023",3,2,"Montipora capitata","Susceptible",243,NA,NA,NA,NA,23,2.529,2.958,0.429,10.1888959736072
"12","210",2.14969341297817,0.00976828100791122,-0.796684046315092,220.068752243835,1.35300936666308,2023-09-15,"CAREER - Phys","September_2023",3,5,"Montipora capitata","Resistant",243,NA,NA,NA,NA,24,3.954,4.449,0.495,11.7564184310852
"13","211",1.6539275625194,0.00522105913114503,-0.428027129155198,316.780086372376,1.22590043336421,2023-09-14,"CAREER - Phys","September_2023",2,8,"Montipora capitata","Susceptible",246,NA,NA,NA,NA,25,1.251,1.455,0.204,4.84506941402299
"14","212",2.09988555432178,0.00817943875664215,-0.872317036540855,256.727339955514,1.22756851778092,2023-09-14,"CAREER - Phys","September_2023",2,10,"Montipora capitata","Resistant",246,NA,NA,NA,NA,26,1.102,1.256,0.154,3.65755240078206
"15","214",1.99008486533756,0.00604330029755581,-0.615019295053253,329.304315084664,1.37506557028431,2023-09-14,"CAREER - Phys","September_2023",1,9,"Montipora capitata","Resistant",245,NA,NA,NA,NA,27,1.324,1.568,0.244,5.79508302461573
"16","219",1.95429239160679,0.00622072777116963,-0.7632082764789,314.158160185708,1.19108411512789,2023-09-14,"CAREER - Phys","September_2023",1,5,"Montipora capitata","Susceptible",246,NA,NA,NA,NA,28,0.918,1.047,0.129,3.06379389416159
"17","220",2.64244611675256,0.00802514134113277,-1.01011661641467,329.270975354506,1.63232950033788,2023-09-14,"CAREER - Phys","September_2023",1,1,"Montipora capitata","Resistant",245,"Chamber vol for Sept 2023 from https://docs.google.com/spreadsheets/d/1ER5cb2uHWlQ6L5Ifs1Rq18BrPqLYbu8kD4qvk5cz5Ts/edit?gid=0#gid=0; SA for Sept 2023 from Phys_T0_frags_20230914_mesh_measure",NA,NA,NA,29,2.053,2.303,0.25,5.93758506620464
"18","221",1.6511443754402,0.00524744253784599,-0.603529062582313,314.656971187717,1.04761531285789,2023-09-14,"CAREER - Phys","September_2023",1,3,"Montipora capitata","Susceptible",245.5,NA,NA,NA,NA,30,1.688,1.878,0.19,4.51256465031553
"19","225",3.75653733876218,0.00796606426484047,-1.16882795864819,471.567541243958,2.58770938011398,2023-09-15,"CAREER - Phys","September_2023",5,8,"Porites compressa","Susceptible",245,NA,NA,NA,NA,31,1.489,1.691,0.202,4.79756873349335
"20","226",5.10409849872039,0.0104506239653984,-1.26795583582081,488.40131609556,3.83614266289958,2023-09-15,"CAREER - Phys","September_2023",3,1,"Porites compressa","Resistant",244,NA,NA,NA,NA,32,2.701,2.915,0.214,5.08257281667117
"21","233",4.72817119831761,0.005613537658353,-1.54700029402052,842.280124598798,3.18117090429709,2023-09-15,"CAREER - Phys","September_2023",4,9,"Porites compressa","Susceptible",245,NA,NA,NA,NA,33,2.114,2.356,0.242,5.7475823440861
"22","234",4.59895558723138,0.00924231539731154,-0.948617009363841,497.597776047456,3.65033857786754,2023-09-15,"CAREER - Phys","September_2023",4,7,"Porites compressa","Resistant",244,NA,NA,NA,NA,34,2.614,2.858,0.244,5.79508302461574
"23","235",4.26084042554242,0.00831065668826567,-1.18154571557926,512.695998086236,3.07929470996316,2023-09-14,"CAREER - Phys","September_2023",1,6,"Porites compressa","Susceptible",246,NA,NA,NA,NA,35,1.083,1.227,0.144,3.42004899813388
"24","236",2.60921566435385,0.00775596020466071,-0.86450687765957,336.414266641791,1.74470878669428,2023-09-14,"CAREER - Phys","September_2023",1,8,"Porites compressa","Resistant",245,NA,NA,NA,NA,36,1.849,2.072,0.223,5.29632587905455
"25","239",2.58335652515848,0.00757152015097852,-0.901345830684759,341.193904743767,1.68201069447372,2023-09-15,"CAREER - Phys","September_2023",4,10,"Porites compressa","Susceptible",244,NA,NA,NA,NA,39,2.223,2.492,0.269,6.3888415312362
"26","240",3.93642904327479,0.00707392978042252,-0.975747419834839,556.469906468264,2.96068162343995,2023-09-15,"CAREER - Phys","September_2023",4,4,"Porites compressa","Resistant",243,NA,NA,NA,NA,40,2.681,3.035,0.354,8.40762045374578
"27","241",4.49526234356789,0.00783127949685285,-1.22401791036862,574.013779660705,3.27124443319927,2023-09-15,"CAREER - Phys","September_2023",4,1,"Porites compressa","Susceptible",245,NA,NA,NA,NA,41,2.502,2.722,0.22,5.22507485826009
"28","242",4.17777345424786,0.0071247403032137,-1.03113942552759,586.37554162689,3.14663402872027,2023-09-15,"CAREER - Phys","September_2023",4,6,"Porites compressa","Resistant",245,NA,NA,NA,NA,42,2.287,2.499,0.212,5.03507213614154
"29","244",5.94242983661257,0.00913755783318512,-1.2687735652725,650.330202565863,4.67365627134007,2023-09-14,"CAREER - Phys","September_2023",2,2,"Porites compressa","Resistant",245,NA,NA,NA,NA,44,2.645,2.882,0.237,5.62883064276201
"30","247",2.76085009750539,0.00757133152005677,-0.893622216477309,364.645252977206,1.86722788102808,2023-09-14,"CAREER - Phys","September_2023",1,4,"Porites compressa","Susceptible",245,NA,NA,NA,NA,45,2.169,2.431,0.262,6.22258914938247
"31","248",4.7591173962448,0.00894893988768344,-1.16549890058002,531.807952224022,3.59361849566477,2023-09-14,"CAREER - Phys","September_2023",1,2,"Porites compressa","Resistant",245,NA,NA,NA,NA,46,2.076,2.283,0.207,4.91632043481744
"32","3",1.4671424060724,0.00527375677509417,-0.409984669348398,278.196827923714,1.057157736724,2023-09-15,"CAREER - Phys","September_2023",3,7,"Montipora capitata","Susceptible",245,NA,NA,NA,NA,3,2.226,2.609,0.383,9.09638032142552
"33","4",1.41080147621842,0.00626546978443405,-0.589158837908002,225.170900947191,0.821642638310416,2023-09-15,"CAREER - Phys","September_2023",3,4,"Montipora capitata","Resistant",245,NA,NA,NA,NA,4,3.976,4.366,0.39,9.26263270327924
"34","41",2.34897811930096,0.00853732298798526,-1.07909818237379,275.142234000836,1.26987993692717,2023-09-15,"CAREER - Phys","September_2023",5,4,"Porites compressa","Susceptible",243,NA,NA,NA,NA,11,2.807,3.106,0.299,7.10135173918075
"35","42",5.07178171894165,0.00929006074293411,-1.59025234650419,545.936335540021,3.48152937243746,2023-09-15,"CAREER - Phys","September_2023",4,2,"Porites compressa","Resistant",245,NA,NA,NA,NA,12,1.548,1.707,0.159,3.77630410210615
"36","43",3.82656691662148,0.00653950298604856,-0.812545913406919,585.14644381769,3.01402100321456,2023-09-15,"CAREER - Phys","September_2023",5,2,"Porites compressa","Susceptible",243,NA,NA,NA,NA,13,3.499,3.871,0.372,8.83512657851251
"37","44",3.69793351859006,0.008510099836342,-0.971390600806875,434.534681108934,2.72654291778319,2023-09-15,"CAREER - Phys","September_2023",5,6,"Porites compressa","Resistant",245,NA,NA,NA,NA,14,1.858,2.077,0.219,5.20132451799527
"38","45",2.72049728954495,0.00556135759158953,-0.72825543026488,489.178630350828,1.99224185928007,2023-09-15,"CAREER - Phys","September_2023",5,7,"Porites compressa","Susceptible",244,NA,NA,NA,NA,15,2.338,2.587,0.249,5.91383472593983
"39","46",1.93510936077202,0.00500554303867541,-0.417470013902184,386.593291840739,1.51763934686984,2023-09-15,"CAREER - Phys","September_2023",3,8,"Porites compressa","Resistant",244,NA,NA,NA,NA,16,3.215,3.732,0.517,12.2789259169112
