"","Colony_ID","Run.x","Interval","Light_Value","N_points","O2_start","O2_end","DeltaT_min","DeltaT_max","O2_min","O2_max","Slope","Avg_Blank_Slope","Blank_Corrected_Slope","Date","Project","Timepoint","Run.y","Chamber","Species","Phenotype","Chamber_Volume_mL","Notes","...11","...12","...13","X","Without_wax_weight_g","With_wax_weight_g","delta.mass.g","surface.area.cm2","Chamber_Volume_L","Slope_norm"
"43","203",5,1,0,603,212.806,196.807,402.88,432.978,196.715,212.806,-0.534331001678076,0.0157809834320848,-0.550111985110161,2023-09-15,"CAREER - Phys","September_2023",5,1,"Montipora capitata","Susceptible",243,NA,NA,NA,NA,71,3.481,3.945,0.464,10.9035848384959,0.243,-0.735595940390973
"44","203",5,2,150,177,208.864,208.965,309.886,318.679,207.344,208.975,0.25830392712486,0.0409882290702117,0.217315698054648,2023-09-15,"CAREER - Phys","September_2023",5,1,"Montipora capitata","Susceptible",243,NA,NA,NA,NA,71,3.481,3.945,0.464,10.9035848384959,0.243,0.290589097491155
"45","203",5,3,275,181,209.151,213.581,319.679,328.678,209.151,213.655,0.524171859896202,0.0272478428480824,0.496924017048119,2023-09-15,"CAREER - Phys","September_2023",5,1,"Montipora capitata","Susceptible",243,NA,NA,NA,NA,71,3.481,3.945,0.464,10.9035848384959,0.243,0.664474324350836
"46","203",5,4,530,241,214.071,223.505,329.679,341.679,214.071,223.505,0.838175015499579,0.0136029466426858,0.824572068856894,2023-09-15,"CAREER - Phys","September_2023",5,1,"Montipora capitata","Susceptible",243,NA,NA,NA,NA,71,3.481,3.945,0.464,10.9035848384959,0.243,1.10259707628339
"47","203",5,5,730,181,224.6,233.078,342.678,351.679,224.335,233.098,0.959697449801566,0.000918049300417384,0.958779400501149,2023-09-15,"CAREER - Phys","September_2023",5,1,"Montipora capitata","Susceptible",243,NA,NA,NA,NA,71,3.481,3.945,0.464,10.9035848384959,0.243,1.28205575197185
"48","203",5,6,945,181,234.064,243.147,352.679,361.678,234.064,243.147,1.01889233082881,-0.0116762761276081,1.03056860695642,2023-09-15,"CAREER - Phys","September_2023",5,1,"Montipora capitata","Susceptible",243,NA,NA,NA,NA,71,3.481,3.945,0.464,10.9035848384959,0.243,1.37805047715824
"49","203",5,7,1190,273,244.277,258.332,362.678,376.278,244.121,258.358,1.04993698433613,-0.0238375213938983,1.07377450573003,2023-09-15,"CAREER - Phys","September_2023",5,1,"Montipora capitata","Susceptible",243,NA,NA,NA,NA,71,3.481,3.945,0.464,10.9035848384959,0.243,1.43582432066475
"50","204",5,1,0,601,188.495,173.819,Inf,-Inf,173.819,188.495,-0.483546392955707,0.0402209445354651,-0.523767337491172,2023-09-15,"CAREER - Phys","September_2023",5,5,"Montipora capitata","Resistant",244,NA,NA,NA,NA,72,2.606,2.988,0.382,8.97665820755479,0.244,-0.854210291132325
"51","204",5,2,150,171,184.215,182.611,Inf,-Inf,181.455,184.215,0.184589397662348,0.0657972296995885,0.118792167962759,2023-09-15,"CAREER - Phys","September_2023",5,5,"Montipora capitata","Resistant",244,NA,NA,NA,NA,72,2.606,2.988,0.382,8.97665820755479,0.244,0.193737724971098
"52","204",5,3,275,180,182.975,187.255,Inf,-Inf,182.795,187.369,0.565476629595199,0.0437715377381818,0.521705091857018,2023-09-15,"CAREER - Phys","September_2023",5,5,"Montipora capitata","Resistant",244,NA,NA,NA,NA,72,2.606,2.988,0.382,8.97665820755479,0.244,0.850846982049374
"53","204",5,4,530,240,187.971,198.517,Inf,-Inf,187.969,198.517,0.960125248249766,0.0255335999419517,0.934591648307814,2023-09-15,"CAREER - Phys","September_2023",5,5,"Montipora capitata","Resistant",244,NA,NA,NA,NA,72,2.606,2.988,0.382,8.97665820755479,0.244,1.52422220105375
